team,season,rim_pct,three_pct_shot,jumper_pct,assisted_pct,ft_rate,to_per_game,oreb_per_game,plays_per_game,block_rate,steal_rate,rim_fgpct,three_fgpct,jumper_fgpct,cluster_label,dist_to_centroid,gmm_proba_0,gmm_proba_1,gmm_proba_2,gmm_proba_3
Akron,2016,0.7295200602851286,2.188718518270432,-2.2062460708360385,-0.29621407245743386,-1.2016235085324602,-0.9930034148791902,0.13619465338955242,-0.36639317109599207,-0.8429748655314321,-0.5041947578540449,-1.2884759729627446,0.010634908028716106,-2.041126830321142,1,10.533679006624096,0.03493993318824754,0.6659824708327658,0.14972578095249844,0.14935181502648873
Alabama,2016,-1.4485319021904697,1.092322259448323,0.5152986746339625,-0.9930073242945447,0.9788992071386108,0.3473672256265345,0.798896856784127,0.428374546155876,1.1698610807229173,-0.118924966456402,0.023492470672601306,-0.7336112517116549,-0.4193963817854312,2,5.264001053696795,0.10098113480939036,0.026720816880093114,0.7557586394099357,0.11653940890058054
Arizona,2016,-0.305575863651503,-1.599220118746831,1.4091940420008842,-0.4513389668170891,0.16521598243283767,-0.020577656080919153,-0.004805815417804822,0.9402588386231816,1.1970615664831104,-0.9502966215776307,1.093408983738581,0.16246776468401636,0.10640092594347922,2,6.45635867103482,0.17533138044617913,0.0033185757914208523,0.7861651681243521,0.03518487563804829
Army,2016,1.1544529678891045,-0.07013337729028198,-0.9796150649882807,-0.36729796701781575,-1.022745938794656,0.5013620142875784,0.49266146359315044,1.0784531647615596,0.053791149374960635,-0.023874853447114847,-1.521327673784491,-0.3196758667007983,1.8441540510606864,1,6.143237744969891,0.010253621215111077,0.5719338827103648,0.21273692130552854,0.20507557476899577
Austin Peay,2016,0.5870646358685658,-0.18770845456715712,-0.39008506624409084,-0.17890477238448133,0.5637698272747261,1.248291090395521,0.0744032714710344,0.23118249894711113,-1.1325800374487904,1.444817128039913,0.8552305629103222,0.5070561836166367,-0.1043905649596661,3,6.939093237901069,0.07025779232371811,0.1297939695571962,0.2215228578598186,0.5784253802592666
BYU,2016,-2.227358625427637,0.6939850267581903,1.4929369815949738,0.5245065192983321,-0.464501901013665,0.14149330371879268,0.14206967292319242,1.1326965425582607,0.8298550087204927,0.5012242153108559,0.4607414569410494,0.5525709014620337,1.5384803495837789,0,6.951710113307195,0.5403459390097319,0.01096185531181141,0.4194340391362808,0.02925816654217538
Ball State,2016,-0.7991602618984927,1.1416198858764997,-0.09880802848033401,0.8202099718876238,0.14260042688702368,0.013506523809391685,-0.9759465443284724,-0.6599809431619443,-1.1523803910536377,0.08068027086310067,-1.1886208541588021,0.562867430423642,-0.012502744564897793,1,5.69567973400691,0.1616441061395433,0.7472386325905985,0.06557368304266378,0.025543578227194046
Baylor,2016,-0.2936195566208558,-1.2536342649476881,1.1528949523897063,3.8093102847238303,0.5471330999618415,0.5850627111833451,0.6218168562525359,0.020123617190077853,0.7154529656702657,1.562902915496156,0.5585283015356902,1.2774019075297092,0.9300685377373933,2,7.85409384674216,0.14469899111990334,0.03065481810271331,0.5518886213423153,0.27275756943506846
Belmont,2016,-1.1003807866010273,2.135388948766033,-0.5365556391425449,0.6744175886063943,0.057119339585764324,0.5108982841631807,-0.5860410812792411,0.18248192446105535,-1.2812049138901114,-0.4095670897914657,2.647294315656229,0.5810077381409544,1.645058689088223,0,8.791095113876525,0.695685872273693,0.28273611583357855,0.009822280857657727,0.011755731035071392
Boston University,2016,0.7571161522215593,0.910634941104111,-1.3224117887181108,0.28250722170103487,-0.01234166264969151,0.2438827276463132,-1.0922719310945415,-0.31666005198527064,-0.39501686566823874,0.1852353951733162,-0.41996886722560955,0.23334030713946846,1.255631028395482,1,6.274472298412958,0.01978913387140183,0.8927330177574975,0.042225584762410145,0.04525226360869096
Bucknell,2016,0.9262613884426457,0.23197560088530353,-0.9908634376256528,1.324032222274656,1.3957757942234261,0.8027669868531255,-0.5046281669142271,0.871379412180214,0.23660303481281567,1.1312790027250594,-1.0720660332500305,0.24477917220806672,1.8578354004425726,3,7.0503663806250785,0.005308395929070617,0.3240452224336531,0.09731666872176337,0.5733297129155129
Buffalo,2016,1.1792805868479281,0.31251744965853867,-1.2737371668856345,-0.8868595445436424,0.5723228854303545,0.7911901416953182,0.6469802226497504,0.9428660591281096,-0.2366672635864645,-0.009034771286955645,-0.06147618847016926,-0.25181471861546967,-2.029881309235425,3,5.859029212647231,0.00507368810736667,0.24664236275711016,0.2674394573581772,0.48084449177734556
Butler,2016,-0.2721462019661685,-0.6455113393556738,0.7015017730145696,-0.42381129391441436,0.38862266875680335,-0.6369674634948572,-0.3216162437693335,0.4493622832412962,0.55870016629856,-0.04478587830915795,1.1773879115000654,1.0296615237111988,-0.04423369926436845,2,5.389426393882482,0.3767266008646521,0.032751319427532864,0.5508450424036248,0.03967703730419014
Cal State Bakersfield,2016,1.857858703211398,-1.3842421796712507,-0.672816944708071,0.31214709518235084,1.1122741670801797,0.8943567149505621,0.2018479966779776,-0.2829233170141524,0.7550536728799597,0.45707871837987657,-1.9935276578815806,-0.6602523228953094,-0.4118810420408266,3,7.11228531106617,0.0012516923819361873,0.2207768406396022,0.12234176484807242,0.6556297021303888
California,2016,-0.15701762776200628,-1.7426912078700885,1.378696730617095,-1.0796937083716658,0.8929964246276993,-1.0602538449391665,-0.0761354643438789,0.6514324847465045,0.6890524941971364,-1.7041372041265788,0.3262336729054728,0.5381207561324151,-1.7871195820635803,2,7.540691470451519,0.2208969805647162,0.0045387380126681864,0.7512228568464995,0.023341424576115734
Central Michigan,2016,-0.4106616831981168,2.2114869353794493,-1.2056908362452528,0.5543829757918256,-0.6713344011008067,-2.303807055961995,-0.27799422373205757,-0.8385871871266879,-1.769491411738037,-2.4913757871682014,0.5221708748949734,-0.027850018814708825,0.4939895847246564,1,7.739463495885912,0.09234375372111152,0.9062965227052107,0.0008858797274870644,0.00047384384619088716
Chattanooga,2016,0.1245726585219747,0.38526485356247697,-0.3849261434730613,-0.06118003840433167,0.11637013641074115,0.5826712627006095,-0.5978890373387477,-0.6738725399147577,1.0636091832221592,1.314430737723644,0.9581811084150563,-0.31643913488558006,0.14217051672855924,2,5.439018136690575,0.10691942265466442,0.25712869938917843,0.4367469654794655,0.19920491247669175
Cincinnati,2016,-0.7437533290870423,0.2003669328306664,0.5208122251677874,0.7372992946857825,-1.390931628956441,0.045126787081126524,1.630799622747531,0.15126425248936415,1.9858756535287336,0.7935561184327514,-1.0695055945081886,0.28614247083526306,-1.1751590433293788,2,8.029420481280841,0.04045803937754197,0.0035921383510079097,0.7526901458643689,0.20325967640708154
Coastal Carolina,2016,-0.8435719523963621,1.4672527038639527,-0.29065954641283515,-1.0505978414248225,-0.8973668197374359,-0.8314976545905503,0.001561947689625004,-1.0646937296655676,-0.9605511588174315,-0.505502974463205,-0.15386961978229394,-1.7667340500553845,-0.18547428253827217,1,5.525052071025994,0.32540397566734336,0.5537006386600491,0.10755564839106876,0.01333973728153911
Colorado,2016,0.4863986015583186,-1.4596182302350504,0.6037366531400344,-1.0652819886877534,0.39137150185928765,-0.1651274310374184,0.3758954503620587,0.888300658560711,2.2306800253704795,0.46911839936105265,-1.8608242020452677,1.5220495779859013,-1.1269128709185159,2,7.053986435564313,0.014906480300776485,0.03312084439675942,0.6286738251505288,0.32329885015193544
Columbia,2016,1.3077368691952818,1.991651225660308,-2.5817891082409905,0.8704337330667474,-7.564250687537778e-05,-0.6776220877013728,-1.4446694262976336,-1.4628918882531239,-0.7893739082981089,-0.8184937982047529,-1.4227759048685296,1.250951876323092,1.2431441871953777,1,10.103590509888116,0.000769674219340133,0.9950279512857731,0.000977617633652473,0.0032247568612337727
