diff_adj_off_rating,diff_adj_def_rating,diff_pace,diff_elo,diff_srs,diff_efg_pct,diff_tov_ratio,diff_orb_pct,diff_ft_rate,diff_opp_efg_pct,diff_opp_tov_ratio,diff_opp_orb_pct,diff_opp_ft_rate,diff_experience,diff_depth_score,diff_star_power,diff_three_pt_volume,diff_hot_streak,neutral_site,seed_diff,season_type,season
-0.5,-0.3999999999999915,35.099999999999994,17.0,-2.7,0.29999999999999716,-0.23,-2.0,-10.0,-0.10000000000000142,-0.18000000000000002,-3.8999999999999986,10.599999999999998,0.28025477707006363,0.6496815286624202,1.2999999999999998,0.05275839824798206,-0.4984368202923563,0,,regular,2015
,,-7.600000000000001,,,12.600000000000001,-0.04000000000000001,-5.399999999999999,38.5,-22.599999999999994,0.10999999999999999,7.4999999999999964,5.100000000000001,0.5916230366492147,0.5759162303664922,2.2,-0.09594247560349256,0.6166274865984165,0,,regular,2015
-1.5,-1.2000000000000028,-4.300000000000004,68.0,2.0,-2.200000000000003,0.03,0.8999999999999986,4.600000000000001,-4.0,-0.010000000000000009,-6.400000000000002,24.800000000000004,0.008277493102089098,0.288135593220339,0.19999999999999973,0.0955609781225496,-0.23106353794575962,1,,regular,2015
,,-16.5,,,1.8999999999999986,-0.01999999999999999,12.900000000000002,9.900000000000006,-12.5,0.04999999999999999,-0.1999999999999993,-4.099999999999994,0.4736842105263159,0.7017543859649124,-2.4000000000000004,-0.10626458445521447,0.42605402619566574,0,,regular,2015
2.3000000000000114,-0.6000000000000085,13.400000000000006,427.0,12.2,2.299999999999997,-0.07,8.400000000000002,-2.6000000000000014,-2.799999999999997,0.0,2.1000000000000014,-2.3000000000000043,0.0,-0.231578947368421,2.5,0.06542944969819203,0.17763008786110213,1,,regular,2015
0.5999999999999943,0.5999999999999943,12.600000000000009,-234.0,1.0000000000000002,-0.10000000000000142,-0.04999999999999999,3.0,-1.3999999999999986,-1.7999999999999972,-0.1,4.599999999999998,-4.5,0.45679012345679004,-0.23091214191537812,0.6000000000000001,-0.0621415973440477,0.24227246435772065,0,,regular,2015
-0.5,-4.700000000000003,-0.20000000000000284,559.0,12.1,-3.799999999999997,0.009999999999999981,7.099999999999998,2.6000000000000014,-6.700000000000003,0.04999999999999999,0.9000000000000021,1.6999999999999993,0.4254658385093168,0.015410758232743516,0.0,-0.07482727078554646,0.4348997324029228,0,,regular,2015
1.3999999999999915,-6.0,9.700000000000003,680.0,29.1,3.5,-0.08000000000000002,10.400000000000002,8.099999999999998,-4.200000000000003,0.010000000000000009,0.0,12.899999999999999,0.3843416370106762,0.5231316725978647,1.5,0.08446968826813078,0.5261334664601434,0,,regular,2015
-2.9000000000000057,-0.6999999999999886,8.200000000000003,-49.0,-3.7,-0.10000000000000142,0.0,-7.700000000000003,6.399999999999999,0.8999999999999986,-0.03,-0.5,-21.5,0.175,-0.043877551020408245,-2.5000000000000004,-0.06308181344910041,-0.3531840602575079,0,,regular,2015
-1.4000000000000057,0.5,-21.799999999999997,-197.0,-6.2,-1.1999999999999957,0.16,-3.0,2.6000000000000014,-2.200000000000003,0.12,4.800000000000001,-3.3999999999999986,-0.2909090909090909,-0.5454545454545454,0.5,-0.03315099580002706,-0.130844945613539,1,,regular,2015
-1.0,-0.5,-5.900000000000006,-168.0,0.0,-2.3999999999999986,0.04999999999999999,2.1999999999999957,-6.399999999999999,1.5999999999999943,0.14,-3.0,8.000000000000004,-0.1156325156325157,0.0046176046176047425,-1.7999999999999998,0.03069234545765026,0.041983171229002636,1,,regular,2015
1.2000000000000028,-3.799999999999997,7.199999999999996,606.0,19.1,4.299999999999997,-0.06,-1.3999999999999986,4.399999999999999,-4.699999999999996,0.010000000000000009,-3.1000000000000014,-4.699999999999999,0.18146718146718152,-0.27808002808002796,0.0,-0.07729131536512324,0.01989015864607835,0,,regular,2015
,,-9.600000000000001,,,21.7,-0.25,-5.699999999999999,15.199999999999996,-2.700000000000003,0.13999999999999999,-14.2,4.400000000000002,0.0,0.49802371541501966,4.1,-0.06590749872937818,0.9622287748235002,0,,regular,2015
3.0999999999999943,-3.0,-4.800000000000004,683.0,23.2,0.20000000000000284,-0.1,3.200000000000003,0.7000000000000028,-2.700000000000003,0.020000000000000018,-0.6000000000000014,-9.599999999999994,0.5465116279069766,-0.4186046511627909,1.2999999999999998,-0.06391129057948208,0.2123639661169433,0,,regular,2015
-1.4000000000000057,-1.5999999999999943,2.0,208.0,3.3,-4.100000000000001,-0.010000000000000009,6.5,4.900000000000006,-1.3999999999999986,0.03,2.4999999999999964,16.9,-0.18062200956937796,0.06334275772074821,2.8,-0.07635327755984117,0.09781313190475849,0,,regular,2015
2.299999999999997,0.5999999999999943,-1.7000000000000028,142.0,12.600000000000001,-2.299999999999997,-0.04000000000000001,1.9000000000000021,0.30000000000000426,-2.5,-0.010000000000000009,0.10000000000000142,-6.100000000000001,0.1438280385648807,-0.07096570254464996,0.6999999999999997,-0.11159625225333647,-0.00612129125676153,0,,regular,2015
-0.10000000000000853,-0.09999999999999432,37.4,444.0,8.3,4.799999999999997,-0.5,0.3999999999999986,-3.299999999999997,-1.8999999999999986,-0.46,5.600000000000001,-13.199999999999996,0.3409090909090909,0.625,3.0999999999999996,0.012909436301693195,0.3214282711110484,0,,regular,2015
-6.5,-10.900000000000006,25.800000000000004,551.0,15.2,4.600000000000001,-0.42,-3.3000000000000007,-13.299999999999997,-2.3999999999999986,-0.37,-1.7999999999999972,-23.400000000000002,0.6608187134502925,0.5555555555555556,0.40000000000000036,0.03372781065088759,0.2796157592088979,0,,regular,2015
