season,seasonLabel,teamId,team,conference,athleteId,athleteSourceId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,offensiveRating,defensiveRating,netRating,PORPAG,usage,assistsTurnoverRatio,offensiveReboundPct,freeThrowRate,effectiveFieldGoalPct,trueShootingPct,fieldGoals_made,fieldGoals_attempted,fieldGoals_pct,twoPointFieldGoals_made,twoPointFieldGoals_attempted,twoPointFieldGoals_pct,threePointFieldGoals_made,threePointFieldGoals_attempted,threePointFieldGoals_pct,freeThrows_made,freeThrows_attempted,freeThrows_pct,rebounds_offensive,rebounds_defensive,rebounds_total,winShares_offensive,winShares_defensive,winShares_total,winShares_totalPer40
2017,20162017,13,Arkansas State,Sun Belt,47153,4067772,Rashad Lindsey,G,32,32,1086,331,60,50,81,20,0,108.3,104.7,3.6,1.9,16.7,1.35,11.0,36.8,52.2,0.563,112,253,44.3,72,150,48.0,40,103,38.8,67,93,72.0,10,81,91,1.4,1.4,2.8,0.103
2017,20162017,13,Arkansas State,Sun Belt,47154,3141213,C.J. Foster,G,32,32,618,149,34,71,27,12,5,102.1,104.1,-2.0,0.6,14.0,0.79,45.1,49.5,52.7,0.551,52,111,46.8,39,67,58.2,13,44,29.5,32,55,58.2,32,39,71,0.4,0.8,1.2,0.078
2017,20162017,13,Arkansas State,Sun Belt,47155,4067780,Andrew Riley,G,12,0,23,14,0,3,1,2,0,187.8,93.2,94.6,0.5,16.6,,50.0,28.6,85.7,0.888,5,7,71.4,3,3,100.0,2,4,50.0,2,2,100.0,1,1,2,0.1,0.1,0.2,0.348
2017,20162017,13,Arkansas State,Sun Belt,47156,4067776,Deven Simms,G,30,0,799,403,67,47,56,33,11,104.0,98.5,5.5,2.0,28.6,0.84,24.0,43.0,48.4,0.536,147,316,46.5,135,276,48.9,12,40,30.0,97,136,71.3,36,114,150,1.2,1.5,2.7,0.135
2017,20162017,13,Arkansas State,Sun Belt,52448,3949211,Donte Thomas,G,32,32,903,275,89,80,177,28,7,96.6,99.8,-3.2,0.9,22.1,1.99,15.4,67.0,38.4,0.456,84,233,36.1,73,191,38.2,11,42,26.2,96,156,61.5,22,121,143,0.5,1.5,2.0,0.089
2017,20162017,13,Arkansas State,Sun Belt,52449,67053,Devin Carter,G,32,32,1055,526,39,76,25,29,5,117.5,102.5,15.0,3.8,23.8,0.64,20.0,23.9,55.6,0.58,177,410,43.2,75,156,48.1,102,254,40.2,70,98,71.4,23,92,115,2.7,1.5,4.2,0.159
2017,20162017,13,Arkansas State,Sun Belt,52450,3949210,Christian Davis,F,8,0,22,6,3,2,0,0,1,56.4,86.3,-29.9,-0.4,30.0,0.0,25.0,114.3,14.3,0.285,1,7,14.3,1,6,16.7,0,1,0.0,4,8,50.0,2,6,8,-0.1,0.1,0.0,0.0
2017,20162017,14,Arkansas-Pine Bluff,SWAC,35935,4067687,Artavious McDyess,F,28,0,174,18,12,22,3,5,8,64.5,125.1,-60.6,-0.2,10.3,0.25,37.9,142.9,35.7,0.395,5,14,35.7,5,14,35.7,0,0,0.0,8,20,40.0,11,18,29,-0.3,-0.1,-0.4,-0.092
2017,20162017,14,Arkansas-Pine Bluff,SWAC,35940,3949238,Marcus Wallace,G,24,1,337,98,36,28,14,9,0,87.3,146.5,-59.2,0.0,19.1,0.39,46.2,36.0,52.0,0.564,33,75,44.0,21,45,46.7,12,30,40.0,20,27,74.1,12,14,26,-0.2,-0.9,-1.1,-0.131
2017,20162017,14,Arkansas-Pine Bluff,SWAC,35946,4067688,Khalid Campbell,G,18,0,68,6,3,7,2,0,0,53.8,129.8,-76.0,-0.3,12.8,0.67,44.4,33.3,16.7,0.218,2,12,16.7,2,3,66.7,0,9,0.0,2,4,50.0,4,5,9,-0.2,-0.1,-0.3,-0.176
2017,20162017,14,Arkansas-Pine Bluff,SWAC,43354,3949235,Charles Jackson,G,29,5,582,192,43,64,43,21,0,104.5,127.4,-22.9,1.0,18.4,1.0,16.4,29.9,56.3,0.589,59,144,41.0,15,43,34.9,44,101,43.6,30,43,69.8,11,56,67,0.8,-0.5,0.3,0.021
2017,20162017,14,Arkansas-Pine Bluff,SWAC,47744,4067690,Travon Harper,F,32,16,549,184,55,100,15,17,6,81.0,126.9,-45.9,-0.5,24.4,0.27,36.4,49.7,41.0,0.452,67,167,40.1,64,145,44.1,3,22,13.6,47,83,56.6,39,68,107,-0.9,-0.4,-1.3,-0.095
2017,20162017,14,Arkansas-Pine Bluff,SWAC,47745,4067686,Trent Steen,F,32,29,689,291,66,90,20,34,23,93.7,121.4,-27.7,0.5,25.3,0.3,31.4,45.1,50.9,0.537,115,226,50.9,115,224,51.3,0,2,0.0,61,102,59.8,44,96,140,0.2,-0.2,0.0,0.0
2017,20162017,14,Arkansas-Pine Bluff,SWAC,47746,68699,David Tillman,C,18,1,117,11,10,25,2,4,9,62.0,107.8,-45.8,-0.2,9.3,0.2,40.0,20.0,50.0,0.506,5,10,50.0,5,10,50.0,0,0,0.0,1,2,50.0,8,12,20,-0.2,0.1,-0.1,-0.034
2017,20162017,14,Arkansas-Pine Bluff,SWAC,47747,4067685,Joe'Randle Toliver,G,32,23,819,212,58,47,59,32,4,92.0,130.0,-38.0,0.3,17.1,1.02,16.7,8.8,48.3,0.498,70,205,34.1,12,31,38.7,58,174,33.3,14,18,77.8,13,65,78,0.0,-0.9,-0.9,-0.044
2017,20162017,14,Arkansas-Pine Bluff,SWAC,47748,4067684,Kennedy McKinney,G,32,3,570,140,65,52,37,40,3,78.1,125.2,-47.1,-0.5,19.5,0.57,47.9,31.1,42.0,0.467,54,132,40.9,51,113,45.1,3,19,15.8,29,41,70.7,34,37,71,-1.0,-0.4,-1.4,-0.098
2017,20162017,14,Arkansas-Pine Bluff,SWAC,52221,3158906,Devin Berry,F,29,21,395,89,32,76,12,6,25,84.3,129.6,-45.3,-0.1,16.5,0.38,41.9,57.9,39.5,0.467,30,76,39.5,30,76,39.5,0,0,0.0,29,44,65.9,36,50,86,-0.3,-0.4,-0.7,-0.071
2017,20162017,14,Arkansas-Pine Bluff,SWAC,52222,68698,Ghiavonni Robinson,G,29,24,827,261,62,50,43,35,2,90.8,124.4,-33.6,0.3,20.6,0.69,19.6,32.1,43.5,0.483,85,237,35.9,49,116,42.2,36,121,29.8,55,76,72.4,20,82,102,-0.1,-0.5,-0.6,-0.029
2017,20162017,14,Arkansas-Pine Bluff,SWAC,52223,3949236,Jaquan Lynch,G,32,20,798,287,47,58,67,43,4,103.9,128.2,-24.3,1.3,21.2,1.43,24.6,25.5,46.6,0.514,96,251,38.2,54,137,39.4,42,114,36.8,53,64,82.8,17,52,69,1.3,-0.8,0.5,0.025
2017,20162017,14,Arkansas-Pine Bluff,SWAC,52224,3949239,Deshon Bayless,F,23,9,357,134,47,47,10,20,5,80.8,128.9,-48.1,-0.5,25.9,0.21,40.3,25.8,49.2,0.501,54,120,45.0,44,91,48.4,10,29,34.5,16,31,51.6,25,37,62,-0.7,-0.4,-1.1,-0.123
2017,20162017,14,Arkansas-Pine Bluff,SWAC,52225,4067689,Cedric Turner,F,9,0,44,6,5,9,2,1,0,51.2,123.1,-71.9,-0.5,18.0,0.4,100.0,62.5,25.0,0.294,2,8,25.0,2,8,25.0,0,0,0.0,2,5,40.0,1,0,1,-0.2,0.0,-0.2,-0.182
2017,20162017,14,Arkansas-Pine Bluff,SWAC,52227,3949237,Marquis Cunningham,C,25,3,199,48,28,43,5,12,4,64.0,121.9,-57.9,-0.7,22.5,0.18,35.3,43.8,37.5,0.419,18,48,37.5,18,48,37.5,0,0,0.0,12,21,57.1,12,22,34,-0.8,-0.1,-0.9,-0.181
2017,20162017,15,Army,Patriot,34853,4067091,Matt Wilson,F,32,0,536,295,47,73,11,6,6,107.5,101.2,6.3,1.4,26.1,0.23,29.7,50.5,64.4,0.642,121,188,64.4,121,188,64.4,0,0,0.0,53,95,55.8,47,111,158,1.0,0.8,1.8,0.134
2017,20162017,15,Army,Patriot,34854,4067089,Tommy Funk,G,32,32,951,292,88,67,155,24,2,91.6,104.7,-13.1,0.4,22.0,1.76,15.6,33.3,40.5,0.447,101,285,35.4,72,188,38.3,29,97,29.9,61,95,64.2,15,81,96,0.0,1.2,1.2,0.05
2017,20162017,15,Army,Patriot,42401,3948826,Jordan Fox,G,32,31,1026,408,70,75,146,27,1,110.4,105.3,5.1,2.4,21.3,2.09,11.7,22.1,52.9,0.563,143,330,43.3,80,169,47.3,63,161,39.1,59,73,80.8,9,68,77,1.9,1.2,3.1,0.121
2017,20162017,15,Army,Patriot,42402,3155887,Jacob Kessler,G,32,31,807,223,53,62,60,31,4,99.5,100.9,-1.4,0.7,15.6,1.13,17.8,11.2,57.0,0.568,87,187,46.5,48,84,57.1,39,103,37.9,10,21,47.6,24,111,135,0.5,1.3,1.8,0.089
2017,20162017,15,Army,Patriot,42403,3948827,John Miller,C,20,0,61,14,3,11,2,0,4,84.8,103.3,-18.5,0.0,15.3,0.67,30.0,21.4,50.0,0.457,7,14,50.0,7,14,50.0,0,0,0.0,0,3,0.0,3,7,10,0.0,0.1,0.1,0.066
2017,20162017,15,Army,Patriot,42404,3948830,John Emezie,G,32,7,707,285,66,68,47,31,13,96.5,100.7,-4.2,0.7,23.4,0.71,23.0,41.2,48.6,0.546,93,221,42.1,64,136,47.1,29,85,34.1,70,91,76.9,20,67,87,0.4,1.1,1.5,0.085
2017,20162017,15,Army,Patriot,42407,3948828,Adam Roe,F,9,0,77,41,7,7,2,6,0,103.2,100.9,2.3,0.5,25.2,0.29,36.4,25.8,58.1,0.594,14,31,45.2,6,8,75.0,8,23,34.8,5,8,62.5,4,7,11,0.1,0.1,0.2,0.104
2017,20162017,15,Army,Patriot,42408,3948825,Jason Houle,G,9,0,48,15,2,4,1,1,0,78.7,106.2,-27.5,-0.2,22.5,0.5,33.3,0.0,37.5,0.375,5,20,25.0,0,2,0.0,5,18,27.8,0,0,0.0,1,2,3,-0.1,0.1,0.0,0.0
2017,20162017,15,Army,Patriot,42409,3948821,Cayne Edwards,G,4,0,10,1,1,2,0,1,0,33.0,78.1,-45.1,-0.5,25.0,0.0,14.3,66.7,0.0,0.129,0,3,0.0,0,2,0.0,0,1,0.0,1,2,50.0,1,6,7,-0.1,0.0,-0.1,-0.4
2017,20162017,15,Army,Patriot,45949,3155888,Luke Morrison,NA,30,20,597,267,36,57,19,14,8,99.6,99.7,-0.1,0.9,23.7,0.53,18.0,2.9,54.6,0.549,96,240,40.0,26,47,55.3,70,193,36.3,5,7,71.4,25,114,139,0.5,1.0,1.5,0.101
2017,20162017,15,Army,Patriot,46422,3948822,Daniel Andrews,F,1,0,4,0,1,0,0,0,0,,66.8,,,10.4,0.0,0.0,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,,0.0,,
2017,20162017,15,Army,Patriot,46423,4067093,Gunther Klimes,G,8,0,56,5,4,11,5,2,2,60.4,95.8,-35.4,-0.4,13.2,1.25,28.6,0.0,22.7,0.227,2,11,18.2,1,6,16.7,1,5,20.0,0,0,0.0,2,5,7,-0.1,0.1,0.0,0.0
