season,teamId,team,conference,offensiveRating,defensiveRating,netRating,rankings
2017,87,Florida,SEC,149.5,141.2,8.2,"{'offense': 1, 'defense': 346, 'net': 1}"
2017,102,Gonzaga,WCC,108.1,101.2,6.9,"{'offense': 8, 'defense': 1, 'net': 2}"
2017,352,Wichita State,MVC,108.0,102.4,5.6,"{'offense': 11, 'defense': 3, 'net': 3}"
2017,338,Villanova,Big East,108.6,103.5,5.1,"{'offense': 4, 'defense': 15, 'net': 4}"
2017,253,Saint Mary's,WCC,108.2,103.2,5.0,"{'offense': 5, 'defense': 12, 'net': 5}"
2017,248,SMU,American,108.1,103.4,4.7,"{'offense': 8, 'defense': 14, 'net': 6}"
2017,200,North Carolina,ACC,108.0,103.7,4.3,"{'offense': 11, 'defense': 24, 'net': 7}"
2017,347,West Virginia,Big 12,106.9,102.6,4.3,"{'offense': 30, 'defense': 4, 'net': 7}"
2017,135,Kentucky,SEC,107.0,102.8,4.2,"{'offense': 25, 'defense': 6, 'net': 9}"
2017,51,Cincinnati,American,107.2,103.0,4.1,"{'offense': 20, 'defense': 10, 'net': 10}"
2017,313,UCLA,Pac-12,109.1,105.0,4.0,"{'offense': 3, 'defense': 138, 'net': 11}"
2017,223,Oregon,Pac-12,107.4,103.8,3.6,"{'offense': 18, 'defense': 31, 'net': 12}"
2017,11,Arizona,Pac-12,107.6,104.0,3.6,"{'offense': 16, 'defense': 40, 'net': 12}"
2017,150,Louisville,ACC,107.0,103.5,3.5,"{'offense': 25, 'defense': 15, 'net': 14}"
2017,131,Kansas,Big 12,107.9,104.4,3.5,"{'offense': 13, 'defense': 65, 'net': 14}"
2017,72,Duke,ACC,107.8,104.3,3.5,"{'offense': 14, 'defense': 60, 'net': 14}"
2017,355,Wisconsin,Big Ten,106.5,103.2,3.4,"{'offense': 47, 'defense': 12, 'net': 17}"
2017,236,Purdue,Big Ten,107.1,103.7,3.4,"{'offense': 22, 'defense': 24, 'net': 17}"
2017,339,Virginia,ACC,105.8,102.6,3.3,"{'offense': 94, 'defense': 4, 'net': 19}"
2017,171,Middle Tennessee,CUSA,106.6,103.5,3.1,"{'offense': 40, 'defense': 15, 'net': 20}"
2017,170,Michigan,Big Ten,108.2,105.2,3.0,"{'offense': 5, 'defense': 158, 'net': 21}"
2017,337,Vermont,Am. East,106.7,104.0,2.7,"{'offense': 36, 'defense': 40, 'net': 22}"
2017,90,Florida State,ACC,106.8,104.1,2.7,"{'offense': 34, 'defense': 46, 'net': 22}"
2017,20,Baylor,Big 12,106.5,103.9,2.6,"{'offense': 47, 'defense': 36, 'net': 24}"
2017,321,UNC Wilmington,CAA,108.2,105.7,2.5,"{'offense': 5, 'defense': 221, 'net': 25}"
2017,213,Notre Dame,ACC,107.4,104.9,2.5,"{'offense': 18, 'defense': 124, 'net': 25}"
2017,234,Princeton,Ivy,106.2,103.6,2.5,"{'offense': 63, 'defense': 22, 'net': 25}"
2017,149,Louisiana Tech,CUSA,106.2,103.7,2.5,"{'offense': 63, 'defense': 24, 'net': 25}"
2017,240,Rhode Island,A-10,106.2,103.7,2.5,"{'offense': 63, 'defense': 24, 'net': 25}"
2017,333,VCU,A-10,106.0,103.5,2.5,"{'offense': 79, 'defense': 15, 'net': 25}"
2017,32,Bucknell,Patriot,106.2,103.8,2.4,"{'offense': 63, 'defense': 31, 'net': 31}"
2017,266,South Carolina,SEC,103.9,101.5,2.4,"{'offense': 300, 'defense': 2, 'net': 31}"
2017,75,East Tennessee State,SoCon,106.1,103.7,2.4,"{'offense': 74, 'defense': 24, 'net': 31}"
2017,189,Nevada,Mountain West,107.1,104.6,2.4,"{'offense': 22, 'defense': 87, 'net': 31}"
2017,64,Dayton,A-10,106.2,103.8,2.4,"{'offense': 63, 'defense': 31, 'net': 31}"
2017,119,Illinois State,MVC,105.4,103.0,2.4,"{'offense': 145, 'defense': 10, 'net': 31}"
2017,125,Iowa State,Big 12,107.2,104.7,2.4,"{'offense': 20, 'defense': 100, 'net': 31}"
