season,teamId,team,conference,rating
2023,113,Houston,American,17.2
2023,5,Alabama,SEC,16.2
2023,314,UConn,Big East,15.9
2023,313,UCLA,Pac-12,14.0
2023,292,Tennessee,SEC,13.3
2023,102,Gonzaga,WCC,12.7
2023,86,Florida Atlantic,CUSA,12.4
2023,253,Saint Mary's,WCC,12.0
2023,11,Arizona,Pac-12,11.8
2023,236,Purdue,Big Ten,11.7
2023,295,Texas,Big 12,11.3
2023,222,Oral Roberts,Summit,11.2
2023,123,Iona,MAAC,11.1
2023,46,Charleston,CAA,10.8
2023,142,Liberty,ASUN,10.5
2023,257,San Diego State,Mountain West,10.5
2023,61,Creighton,Big East,10.3
2023,157,Marquette,Big East,10.0
2023,131,Kansas,Big 12,10.0
2023,134,Kent State,MAC,9.4
2023,158,Marshall,Sun Belt,9.3
2023,168,Miami,ACC,9.3
2023,360,Yale,Ivy,9.1
2023,12,Arkansas,SEC,9.1
2023,72,Duke,ACC,9.1
2023,359,Xavier,Big East,9.0
2023,163,Memphis,American,8.9
2023,329,Utah State,Mountain West,8.9
2023,204,North Texas,CUSA,8.9
2023,305,UAB,CUSA,8.9
2023,332,Utah Valley,WAC,8.8
2023,339,Virginia,ACC,8.4
2023,20,Baylor,Big 12,8.4
2023,118,Illinois,Big Ten,8.3
2023,160,Maryland,Big Ten,8.2
2023,135,Kentucky,SEC,8.2
2023,16,Auburn,SEC,8.2
2023,70,Drake,MVC,8.1
2023,333,VCU,A-10,8.0
2023,110,Hofstra,CAA,7.9
2023,300,Toledo,MAC,7.9
2023,245,Rutgers,Big Ten,7.9
2023,25,Boise State,Mountain West,7.6
2023,121,Indiana,Big Ten,7.6
2023,51,Cincinnati,American,7.6
2023,347,West Virginia,Big 12,7.5
2023,200,North Carolina,ACC,7.4
2023,93,Furman,SoCon,7.2
2023,132,Kansas State,Big 12,7.1
2023,29,Bradley,MVC,7.1
2023,255,Sam Houston,WAC,7.1
2023,122,Indiana State,MVC,7.1
2023,55,Colgate,Patriot,7.0
2023,64,Dayton,A-10,6.9
2023,124,Iowa,Big Ten,6.8
2023,169,Michigan State,Big Ten,6.7
2023,318,UMass Lowell,Am. East,6.7
2023,185,NC State,ACC,6.6
2023,212,Northwestern,Big Ten,6.6
2023,287,TCU,Big 12,6.6
2023,229,Pittsburgh,ACC,6.6
2023,323,USC,Pac-12,6.5
2023,191,New Mexico,Mountain West,6.5
2023,312,UCF,American,6.4
2023,235,Providence,Big East,6.3
2023,337,Vermont,Am. East,6.3
2023,234,Princeton,Ivy,6.2
2023,361,Youngstown State,Horizon,6.2
2023,52,Clemson,ACC,6.2
2023,129,James Madison,Sun Belt,6.1
2023,293,Texas A&M,SEC,6.0
2023,170,Michigan,Big Ten,6.0
2023,125,Iowa State,Big 12,5.9
2023,174,Mississippi State,SEC,5.9
2023,275,Southern Miss,Sun Belt,5.8
2023,148,Louisiana,Sun Belt,5.8
2023,226,Penn State,Big Ten,5.7
2023,177,Missouri,SEC,5.6
2023,189,Nevada,Mountain West,5.3
2023,216,Ohio State,Big Ten,5.2
2023,3,Akron,MAC,5.2
2023,223,Oregon,Pac-12,5.0
2023,308,UC Irvine,Big West,5.0
