season,teamId,team,conference,offensiveRating,defensiveRating,netRating,rankings
2025,86,Florida Atlantic,American,112.4,109.1,3.3,"{'offense': 87, 'defense': 212, 'net': 127}"
2025,185,NC State,ACC,108.1,104.9,3.2,"{'offense': 161, 'defense': 118, 'net': 128}"
2025,96,George Washington,A-10,107.3,104.3,3.0,"{'offense': 183, 'defense': 108, 'net': 129}"
2025,344,Washington State,WCC,113.3,110.3,3.0,"{'offense': 78, 'defense': 238, 'net': 129}"
2025,202,North Dakota State,Summit,116.2,113.3,2.9,"{'offense': 52, 'defense': 292, 'net': 131}"
2025,356,Wofford,SoCon,113.1,110.1,2.9,"{'offense': 80, 'defense': 230, 'net': 131}"
2025,286,Syracuse,ACC,109.9,107.1,2.8,"{'offense': 126, 'defense': 169, 'net': 133}"
2025,270,South Dakota State,Summit,110.2,107.5,2.7,"{'offense': 115, 'defense': 176, 'net': 134}"
2025,75,East Tennessee State,SoCon,108.3,105.6,2.7,"{'offense': 154, 'defense': 132, 'net': 134}"
2025,93,Furman,SoCon,110.1,107.5,2.6,"{'offense': 118, 'defense': 176, 'net': 136}"
2025,320,UNC Greensboro,SoCon,107.7,105.3,2.4,"{'offense': 171, 'defense': 123, 'net': 137}"
2025,133,Kennesaw State,CUSA,107.6,105.2,2.4,"{'offense': 175, 'defense': 122, 'net': 137}"
2025,149,Louisiana Tech,CUSA,108.5,106.2,2.3,"{'offense': 151, 'defense': 144, 'net': 139}"
2025,31,Bryant,Am. East,107.7,105.6,2.1,"{'offense': 171, 'defense': 132, 'net': 140}"
2025,184,Murray State,MVC,107.4,105.3,2.1,"{'offense': 179, 'defense': 123, 'net': 140}"
2025,311,UC Santa Barbara,Big West,110.1,108.0,2.0,"{'offense': 118, 'defense': 186, 'net': 142}"
2025,73,Duquesne,A-10,106.5,104.6,1.9,"{'offense': 198, 'defense': 111, 'net': 143}"
2025,196,Norfolk State,MEAC,109.3,107.5,1.9,"{'offense': 136, 'defense': 176, 'net': 143}"
2025,352,Wichita State,American,106.8,105.0,1.8,"{'offense': 194, 'defense': 120, 'net': 145}"
2025,262,Seattle U,WAC,104.8,103.1,1.7,"{'offense': 224, 'defense': 88, 'net': 146}"
2025,240,Rhode Island,A-10,108.6,107.1,1.6,"{'offense': 150, 'defense': 169, 'net': 147}"
2025,192,New Mexico State,CUSA,105.2,103.8,1.4,"{'offense': 218, 'defense': 100, 'net': 148}"
2025,237,Purdue Fort Wayne,Horizon,111.0,109.8,1.3,"{'offense': 101, 'defense': 224, 'net': 149}"
2025,53,Cleveland State,Horizon,105.4,104.2,1.2,"{'offense': 214, 'defense': 105, 'net': 150}"
2025,294,Texas A&M-Corpus Christi,Southland,107.5,106.5,1.1,"{'offense': 176, 'defense': 153, 'net': 151}"
2025,303,Tulane,American,108.2,107.1,1.1,"{'offense': 158, 'defense': 169, 'net': 151}"
2025,63,Davidson,A-10,110.4,109.5,1.0,"{'offense': 111, 'defense': 220, 'net': 153}"
2025,301,Towson,CAA,107.4,106.4,1.0,"{'offense': 179, 'defense': 150, 'net': 153}"
2025,239,Radford,Big South,110.1,109.5,0.6,"{'offense': 118, 'defense': 220, 'net': 155}"
2025,167,Miami (OH),MAC,109.1,108.5,0.6,"{'offense': 142, 'defense': 194, 'net': 155}"
2025,46,Charleston,CAA,106.7,106.3,0.3,"{'offense': 197, 'defense': 148, 'net': 157}"
2025,327,UTEP,CUSA,105.6,105.4,0.2,"{'offense': 210, 'defense': 126, 'net': 158}"
2025,139,Lamar,Southland,102.9,102.8,0.1,"{'offense': 257, 'defense': 86, 'net': 159}"
2025,350,Western Kentucky,CUSA,104.1,104.0,0.1,"{'offense': 233, 'defense': 103, 'net': 159}"
2025,179,Montana,Big Sky,111.3,111.4,0.0,"{'offense': 98, 'defense': 259, 'net': 161}"
2025,129,James Madison,Sun Belt,110.3,110.4,0.0,"{'offense': 114, 'defense': 240, 'net': 161}"
2025,44,Central Connecticut,NEC,101.9,102.0,-0.1,"{'offense': 272, 'defense': 75, 'net': 163}"
2025,309,UC Riverside,Big West,110.1,110.2,-0.1,"{'offense': 118, 'defense': 234, 'net': 163}"
2025,153,Loyola Marymount,WCC,106.3,106.6,-0.2,"{'offense': 202, 'defense': 156, 'net': 165}"
2025,315,UIC,MVC,108.0,108.2,-0.2,"{'offense': 164, 'defense': 189, 'net': 165}"
2025,39,California Baptist,WAC,105.9,106.2,-0.3,"{'offense': 207, 'defense': 144, 'net': 167}"
2025,289,Temple,American,110.7,111.0,-0.3,"{'offense': 103, 'defense': 251, 'net': 167}"
2025,221,Omaha,Summit,110.4,110.9,-0.5,"{'offense': 111, 'defense': 250, 'net': 169}"
2025,158,Marshall,Sun Belt,108.3,108.9,-0.6,"{'offense': 154, 'defense': 204, 'net': 170}"
2025,215,Ohio,MAC,107.8,108.4,-0.6,"{'offense': 167, 'defense': 193, 'net': 170}"
2025,354,Winthrop,Big South,108.1,108.8,-0.6,"{'offense': 161, 'defense': 202, 'net': 170}"
2025,195,Nicholls,Southland,106.3,107.1,-0.8,"{'offense': 202, 'defense': 169, 'net': 173}"
2025,340,Virginia Tech,ACC,106.8,107.8,-1.0,"{'offense': 194, 'defense': 184, 'net': 174}"
2025,9,App State,Sun Belt,101.4,102.4,-1.1,"{'offense': 285, 'defense': 80, 'net': 175}"
2025,180,Montana State,Big Sky,107.0,108.3,-1.3,"{'offense': 190, 'defense': 192, 'net': 176}"
2025,214,Oakland,Horizon,107.7,109.0,-1.3,"{'offense': 171, 'defense': 207, 'net': 176}"
2025,361,Youngstown State,Horizon,104.3,105.6,-1.3,"{'offense': 229, 'defense': 132, 'net': 176}"
2025,71,Drexel,CAA,104.8,106.2,-1.4,"{'offense': 224, 'defense': 144, 'net': 179}"
