season,teamId,team,conference,elo
2021,1,Abilene Christian,Southland Conference,1950
2021,2,Air Force,Mountain West Conference,1288
2021,3,Akron,Mid-American Conference,1806
2021,5,Alabama,Southeastern Conference,2103
2021,4,Alabama A&M,Southwestern Athletic Conference,1278
2021,6,Alabama State,Southwestern Athletic Conference,1173
2021,7,Alcorn State,Southwestern Athletic Conference,1271
2021,8,American University,Patriot League,1516
2021,9,App State,Sun Belt Conference,1736
2021,11,Arizona,Pac-12 Conference,1903
2021,10,Arizona State,Pac-12 Conference,1625
2021,12,Arkansas,Southeastern Conference,2031
2021,14,Arkansas-Pine Bluff,Southwestern Athletic Conference,1236
2021,13,Arkansas State,Sun Belt Conference,1644
2021,15,Army,Patriot League,1552
2021,16,Auburn,Southeastern Conference,1792
2021,17,Austin Peay,Ohio Valley Conference,1647
2021,19,Ball State,Mid-American Conference,1723
2021,20,Baylor,Big 12 Conference,2264
2021,21,Bellarmine,ASUN Conference,1786
2021,22,Belmont,Ohio Valley Conference,1841
2021,24,Binghamton,America East Conference,1427
2021,25,Boise State,Mountain West Conference,1907
2021,26,Boston College,Atlantic Coast Conference,1431
2021,27,Boston University,Patriot League,1525
2021,28,Bowling Green,Mid-American Conference,1770
2021,29,Bradley,Missouri Valley Conference,1623
2021,31,Bryant,Northeast Conference,1691
2021,32,Bucknell,Patriot League,1510
2021,33,Buffalo,Mid-American Conference,1903
2021,34,Butler,Big East Conference,1603
2021,18,BYU,West Coast Conference,1968
2021,40,California,Pac-12 Conference,1672
2021,39,California Baptist,Western Athletic Conference,1691
2021,35,Cal Poly,Big West Conference,1450
2021,36,Cal State Bakersfield,Big West Conference,1742
2021,37,Cal State Fullerton,Big West Conference,1537
2021,38,Cal State Northridge,Big West Conference,1419
2021,41,Campbell,Big South Conference,1654
2021,42,Canisius,Metro Atlantic Athletic Conference,1480
2021,43,Central Arkansas,Southland Conference,1415
2021,44,Central Connecticut,Northeast Conference,1309
2021,45,Central Michigan,Mid-American Conference,1522
2021,46,Charleston,Coastal Athletic Association,1511
2021,47,Charleston Southern,Big South Conference,1321
2021,48,Charlotte,Conference USA,1572
2021,49,Chattanooga,Southern Conference,1767
2021,50,Chicago State,Western Athletic Conference,1005
2021,51,Cincinnati,American Athletic Conference,1641
2021,52,Clemson,Atlantic Coast Conference,1743
2021,53,Cleveland State,Horizon League,1597
2021,54,Coastal Carolina,Sun Belt Conference,1787
2021,55,Colgate,Patriot League,1872
2021,56,Colorado,Pac-12 Conference,1984
2021,57,Colorado State,Mountain West Conference,1817
2021,59,Coppin State,Mid-Eastern Athletic Conference,1441
2021,61,Creighton,Big East Conference,1934
2021,63,Davidson,Atlantic 10 Conference,1890
2021,64,Dayton,Atlantic 10 Conference,1765
2021,66,Delaware,Coastal Athletic Association,1570
2021,67,Delaware State,Mid-Eastern Athletic Conference,1190
2021,68,Denver,Summit League,1363
2021,65,DePaul,Big East Conference,1544
2021,69,Detroit Mercy,Horizon League,1628
2021,70,Drake,Missouri Valley Conference,1834
2021,71,Drexel,Coastal Athletic Association,1678
2021,72,Duke,Atlantic Coast Conference,1907
2021,73,Duquesne,Atlantic 10 Conference,1640
2021,74,East Carolina,American Athletic Conference,1512
2021,77,Eastern Illinois,Ohio Valley Conference,1446
2021,78,Eastern Kentucky,Ohio Valley Conference,1765
2021,79,Eastern Michigan,Mid-American Conference,1484
2021,80,Eastern Washington,Big Sky Conference,1911
2021,75,East Tennessee State,Southern Conference,1796
2021,81,Elon,Coastal Athletic Association,1679
2021,82,Evansville,Missouri Valley Conference,1645
2021,83,Fairfield,Metro Atlantic Athletic Conference,1488
2021,84,Fairleigh Dickinson,Northeast Conference,1469
2021,87,Florida,Southeastern Conference,1859
2021,85,Florida A&M,Mid-Eastern Athletic Conference,1469
2021,86,Florida Atlantic,Conference USA,1880
2021,88,Florida Gulf Coast,ASUN Conference,1596
2021,89,Florida International,Conference USA,1370
2021,90,Florida State,Atlantic Coast Conference,1956
2021,91,Fordham,Atlantic 10 Conference,1266
2021,92,Fresno State,Mountain West Conference,1624
2021,93,Furman,Southern Conference,1913
2021,94,Gardner-Webb,Big South Conference,1732
2021,95,George Mason,Atlantic 10 Conference,1665
2021,97,Georgetown,Big East Conference,1826
2021,96,George Washington,Atlantic 10 Conference,1465
2021,98,Georgia,Southeastern Conference,1662
2021,99,Georgia Southern,Sun Belt Conference,1661
2021,100,Georgia State,Sun Belt Conference,1795
2021,101,Georgia Tech,Atlantic Coast Conference,1874
2021,102,Gonzaga,West Coast Conference,2276
2021,103,Grambling,Southwestern Athletic Conference,1386
2021,104,Grand Canyon,Western Athletic Conference,1988
2021,105,Green Bay,Horizon League,1477
2021,106,Hampton,Big South Conference,1364
2021,363,Hartford,America East Conference,1631
2021,108,Hawai'i,Big West Conference,1650
2021,109,High Point,Big South Conference,1443
2021,110,Hofstra,Coastal Athletic Association,1592
2021,111,Holy Cross,Patriot League,1477
2021,113,Houston,American Athletic Conference,2159
2021,112,Houston Christian,Southland Conference,1354
2021,114,Howard,Mid-Eastern Athletic Conference,1244
2021,117,Idaho,Big Sky Conference,1270
2021,116,Idaho State,Big Sky Conference,1694
2021,118,Illinois,Big Ten Conference,2185
2021,119,Illinois State,Missouri Valley Conference,1576
2021,120,Incarnate Word,Southland Conference,1354
2021,121,Indiana,Big Ten Conference,1775
2021,122,Indiana State,Missouri Valley Conference,1746
2021,123,Iona,Metro Atlantic Athletic Conference,1682
2021,124,Iowa,Big Ten Conference,2067
2021,125,Iowa State,Big 12 Conference,1481
2021,115,IU Indianapolis,Horizon League,1466
2021,126,Jackson State,Southwestern Athletic Conference,1502
2021,127,Jacksonville,ASUN Conference,1517
2021,128,Jacksonville State,Ohio Valley Conference,1730
2021,129,James Madison,Coastal Athletic Association,1713
2021,131,Kansas,Big 12 Conference,1869
2021,130,Kansas City,Summit League,1723
2021,132,Kansas State,Big 12 Conference,1608
2021,133,Kennesaw State,ASUN Conference,1533
2021,134,Kent State,Mid-American Conference,1716
2021,135,Kentucky,Southeastern Conference,1872
2021,138,Lafayette,Patriot League,1418
2021,139,Lamar,Southland Conference,1563
2021,137,La Salle,Atlantic 10 Conference,1480
2021,141,Lehigh,Patriot League,1303
2021,142,Liberty,ASUN Conference,1915
2021,143,Lipscomb,ASUN Conference,1639
2021,144,Little Rock,Sun Belt Conference,1583
2021,145,Long Beach State,Big West Conference,1526
2021,146,Long Island University,Northeast Conference,1506
2021,147,Longwood,Big South Conference,1539
2021,148,Louisiana,Sun Belt Conference,1673
2021,149,Louisiana Tech,Conference USA,1853
2021,150,Louisville,Atlantic Coast Conference,1705
