season,teamId,team,conference,offensiveRating,defensiveRating,netRating,rankings
2019,102,Gonzaga,WCC,120.6,93.2,27.4,"{'offense': 3, 'defense': 4, 'net': 1}"
2019,339,Virginia,ACC,117.7,93.3,24.4,"{'offense': 5, 'defense': 5, 'net': 2}"
2019,72,Duke,ACC,114.9,93.0,21.9,"{'offense': 12, 'defense': 3, 'net': 3}"
2019,169,Michigan State,Big Ten,115.9,95.4,20.5,"{'offense': 9, 'defense': 10, 'net': 4}"
2019,298,Texas Tech,Big 12,111.0,90.9,20.1,"{'offense': 35, 'defense': 1, 'net': 5}"
2019,200,North Carolina,ACC,115.2,96.5,18.8,"{'offense': 10, 'defense': 15, 'net': 6}"
2019,135,Kentucky,SEC,113.7,95.3,18.4,"{'offense': 17, 'defense': 9, 'net': 7}"
2019,113,Houston,American,112.5,94.5,18.0,"{'offense': 24, 'defense': 7, 'net': 8}"
2019,170,Michigan,Big Ten,109.8,92.1,17.7,"{'offense': 50, 'defense': 2, 'net': 9}"
2019,340,Virginia Tech,ACC,114.8,97.7,17.1,"{'offense': 13, 'defense': 22, 'net': 10}"
2019,292,Tennessee,SEC,117.0,100.1,16.9,"{'offense': 7, 'defense': 47, 'net': 11}"
2019,236,Purdue,Big Ten,116.9,100.1,16.8,"{'offense': 8, 'defense': 47, 'net': 12}"
2019,33,Buffalo,MAC,113.7,97.1,16.6,"{'offense': 17, 'defense': 18, 'net': 13}"
2019,16,Auburn,SEC,115.1,99.2,15.9,"{'offense': 11, 'defense': 36, 'net': 14}"
2019,356,Wofford,SoCon,118.1,102.8,15.3,"{'offense': 4, 'defense': 118, 'net': 15}"
2019,189,Nevada,Mountain West,112.4,97.7,14.7,"{'offense': 26, 'defense': 22, 'net': 16}"
2019,125,Iowa State,Big 12,114.3,99.9,14.4,"{'offense': 14, 'defense': 45, 'net': 17}"
2019,90,Florida State,ACC,109.5,96.0,13.5,"{'offense': 53, 'defense': 12, 'net': 18}"
2019,51,Cincinnati,American,112.0,99.3,12.7,"{'offense': 28, 'defense': 37, 'net': 19}"
2019,355,Wisconsin,Big Ten,108.1,95.6,12.5,"{'offense': 78, 'defense': 11, 'net': 20}"
2019,192,New Mexico State,WAC,114.3,101.9,12.4,"{'offense': 14, 'defense': 99, 'net': 21}"
2019,184,Murray State,OVC,112.2,99.8,12.4,"{'offense': 27, 'defense': 43, 'net': 21}"
2019,150,Louisville,ACC,110.1,97.8,12.2,"{'offense': 43, 'defense': 24, 'net': 23}"
2019,143,Lipscomb,ASUN,109.9,97.8,12.1,"{'offense': 49, 'defense': 24, 'net': 24}"
2019,253,Saint Mary's,WCC,112.8,100.8,12.0,"{'offense': 21, 'defense': 62, 'net': 25}"
2019,131,Kansas,Big 12,109.2,97.3,11.9,"{'offense': 59, 'defense': 20, 'net': 26}"
2019,329,Utah State,Mountain West,110.4,98.4,11.9,"{'offense': 40, 'defense': 27, 'net': 26}"
2019,22,Belmont,OVC,114.0,102.6,11.5,"{'offense': 16, 'defense': 112, 'net': 28}"
2019,136,LSU,SEC,112.7,101.3,11.4,"{'offense': 22, 'defense': 74, 'net': 29}"
2019,174,Mississippi State,SEC,112.9,101.5,11.4,"{'offense': 20, 'defense': 79, 'net': 29}"
2019,223,Oregon,Pac-12,107.5,96.4,11.2,"{'offense': 95, 'defense': 14, 'net': 31}"
2019,338,Villanova,Big East,113.2,102.0,11.2,"{'offense': 19, 'defense': 101, 'net': 31}"
2019,160,Maryland,Big Ten,110.4,99.3,11.1,"{'offense': 40, 'defense': 37, 'net': 33}"
2019,132,Kansas State,Big 12,104.7,93.8,10.9,"{'offense': 176, 'defense': 6, 'net': 34}"
2019,312,UCF,American,133.4,122.8,10.5,"{'offense': 1, 'defense': 349, 'net': 35}"
2019,157,Marquette,Big East,111.4,101.0,10.4,"{'offense': 31, 'defense': 65, 'net': 36}"
