season,teamId,team,conference,rating
2019,102,Gonzaga,WCC,21.2
2019,339,Virginia,ACC,17.9
2019,72,Duke,ACC,17.4
2019,200,North Carolina,ACC,15.5
2019,298,Texas Tech,Big 12,15.5
2019,169,Michigan State,Big Ten,15.2
2019,33,Buffalo,MAC,13.7
2019,113,Houston,American,13.7
2019,236,Purdue,Big Ten,13.5
2019,292,Tennessee,SEC,13.5
2019,135,Kentucky,SEC,13.4
2019,192,New Mexico State,WAC,13.3
2019,170,Michigan,Big Ten,13.3
2019,356,Wofford,SoCon,13.2
2019,189,Nevada,Mountain West,13.2
2019,340,Virginia Tech,ACC,12.5
2019,16,Auburn,SEC,12.5
2019,329,Utah State,Mountain West,11.5
2019,90,Florida State,ACC,11.4
2019,143,Lipscomb,ASUN,10.8
2019,136,LSU,SEC,10.7
2019,184,Murray State,OVC,10.1
2019,125,Iowa State,Big 12,9.9
2019,174,Mississippi State,SEC,9.8
2019,355,Wisconsin,Big Ten,9.8
2019,333,VCU,A-10,9.6
2019,253,Saint Mary's,WCC,9.5
2019,131,Kansas,Big 12,9.3
2019,150,Louisville,ACC,9.3
2019,337,Vermont,Am. East,9.1
2019,338,Villanova,Big East,9.0
2019,22,Belmont,OVC,9.0
2019,223,Oregon,Pac-12,8.8
2019,157,Marquette,Big East,8.7
2019,270,South Dakota State,Summit,8.5
2019,160,Maryland,Big Ten,8.5
2019,312,UCF,American,8.4
2019,51,Cincinnati,American,8.4
2019,93,Furman,SoCon,8.2
2019,185,NC State,ACC,8.0
2019,142,Liberty,ASUN,8.0
2019,52,Clemson,ACC,7.9
2019,308,UC Irvine,Big West,7.7
2019,295,Texas,Big 12,7.7
2019,110,Hofstra,CAA,7.7
2019,87,Florida,SEC,7.6
2019,132,Kansas State,Big 12,7.5
2019,343,Washington,Pac-12,7.3
2019,332,Utah Valley,WAC,7.2
2019,300,Toledo,MAC,7.1
2019,217,Oklahoma,Big 12,7.0
2019,128,Jacksonville State,OVC,7.0
2019,64,Dayton,A-10,6.7
2019,75,East Tennessee State,SoCon,6.7
2019,92,Fresno State,Mountain West,6.7
2019,179,Montana,Big Sky,6.6
2019,61,Creighton,Big East,6.5
2019,104,Grand Canyon,WAC,6.5
2019,360,Yale,Ivy,6.5
2019,124,Iowa,Big Ten,6.4
2019,210,Northern Kentucky,Horizon,6.3
2019,220,Ole Miss,SEC,6.2
2019,163,Memphis,American,6.0
2019,10,Arizona State,Pac-12,6.0
2019,286,Syracuse,ACC,6.0
2019,259,San Francisco,WCC,5.7
2019,205,Northeastern,CAA,5.7
2019,56,Colorado,Pac-12,5.7
2019,20,Baylor,Big 12,5.7
2019,121,Indiana,Big Ten,5.6
2019,12,Arkansas,SEC,5.6
2019,287,TCU,Big 12,5.5
2019,226,Penn State,Big Ten,5.1
2019,216,Ohio State,Big Ten,5.1
2019,320,UNC Greensboro,SoCon,5.0
2019,63,Davidson,A-10,5.0
2019,55,Colgate,Patriot,4.9
2019,151,Loyola Chicago,MVC,4.8
2019,289,Temple,American,4.7
2019,17,Austin Peay,OVC,4.7
2019,188,Nebraska,Big Ten,4.6
2019,46,Charleston,CAA,4.4
2019,357,Wright State,Horizon,4.2
2019,99,Georgia Southern,Sun Belt,4.2
2019,219,Old Dominion,CUSA,4.1
2019,3,Akron,MAC,4.1
2019,258,San Diego,WCC,3.9
2019,18,BYU,WCC,3.8
2019,239,Radford,Big South,3.8
2019,285,Stony Brook,Am. East,3.8
2019,263,Seton Hall,Big East,3.7
2019,352,Wichita State,American,3.6
2019,5,Alabama,SEC,3.5
2019,11,Arizona,Pac-12,3.5
2019,1,Abilene Christian,Southland,3.5
2019,28,Bowling Green,MAC,3.5
2019,32,Bucknell,Patriot,3.4
2019,173,Minnesota,Big Ten,3.3
2019,107,Harvard,Ivy,3.3
2019,277,St. Bonaventure,A-10,3.2
2019,323,USC,Pac-12,3.0
2019,359,Xavier,Big East,3.0
2019,45,Central Michigan,MAC,3.0
2019,224,Oregon State,Pac-12,3.0
2019,168,Miami,ACC,3.0
2019,34,Butler,Big East,3.0
2019,252,Saint Louis,A-10,2.9
2019,100,Georgia State,Sun Belt,2.9
2019,271,South Florida,American,2.9
2019,314,UConn,American,2.8
2019,70,Drake,MVC,2.7
2019,296,Texas Southern,SWAC,2.7
2019,212,Northwestern,Big Ten,2.7
2019,227,Pennsylvania,Ivy,2.7
