id,sourceId,seasonLabel,season,seasonType,tournament,startDate,startTimeTbd,neutralSite,conferenceGame,gameType,status,gameNotes,attendance,homeTeamId,homeTeam,homeConferenceId,homeConference,homeSeed,homePoints,homePeriodPoints,homeWinner,homeTeamEloStart,homeTeamEloEnd,awayTeamId,awayTeam,awayConferenceId,awayConference,awaySeed,awayPoints,awayPeriodPoints,awayWinner,awayTeamEloStart,awayTeamEloEnd,excitement,venueId,venue,city,state
65907,400507725,20132014,2014,regular,,2013-11-08T17:00:00.000Z,False,False,False,STD,final,,2677.0,79,Eastern Michigan,17.0,MAC,,77,"[31, 46]",True,1513.0,1630.0,1250,Albion,,,,45,"[11, 34]",False,1453.0,1336.0,15.1,265,Gervin GameAbove Center,Ypsilanti,MI
65908,400499517,20132014,2014,regular,,2013-11-08T18:00:00.000Z,False,True,False,TRNMNT,final,ALL-MILITARY CLASSIC,1652.0,15,Army,23.0,Patriot,,68,"[30, 38]",False,1597.0,1555.0,2,Air Force,20.0,Mountain West,,79,"[28, 51]",True,1607.0,1649.0,21.8,32,Cameron Hall,Lexington,VA
65909,400507707,20132014,2014,regular,,2013-11-08T19:30:00.000Z,False,False,False,STD,final,,1767.0,45,Central Michigan,17.0,MAC,,101,"[48, 53]",True,1496.0,1713.0,1004,Manchester,,,,49,"[25, 24]",False,1455.0,1239.0,25.4,256,McGuirk Arena,Mount Pleasant,MI
65910,400499019,20132014,2014,regular,,2013-11-08T20:00:00.000Z,False,False,False,TRNMNT,final,GLOBAL SPORTS CHALLENGE,10550.0,87,Florida,24.0,SEC,,77,"[37, 40]",True,1751.0,1726.0,203,North Florida,3.0,ASUN,,69,"[31, 38]",False,1494.0,1518.0,13.2,240,Stephen C. O'Connell Center,Gainesville,FL
65911,400498434,20132014,2014,regular,,2013-11-08T20:30:00.000Z,False,False,False,TRNMNT,final,ALL-MILITARY CLASSIC,3419.0,334,VMI,9.0,Big South,,82,"[37, 45]",True,1513.0,1522.0,299,The Citadel,26.0,SoCon,,71,"[38, 33]",False,1427.0,1418.0,23.7,32,Cameron Hall,Lexington,VA
65912,400499754,20132014,2014,regular,,2013-11-08T21:05:00.000Z,False,False,False,STD,final,,1502.0,130,Kansas City,30.0,WAC,,76,"[32, 44]",False,1454.0,1429.0,1161,Emporia St,,,,81,"[36, 45]",True,1494.0,1519.0,25.9,599,Municipal Auditorium (MO),Kansas City,MO
65913,400499215,20132014,2014,regular,,2013-11-08T22:00:00.000Z,False,True,False,TRNMNT,final,KENNESAW STATE TOURNAMENT,400.0,89,Florida International,13.0,CUSA,,61,"[24, 37]",False,1552.0,1465.0,78,Eastern Kentucky,22.0,OVC,,83,"[45, 38]",True,1647.0,1735.0,46.1,199,KSU Convocation Center,Kennesaw,GA
65914,400498238,20132014,2014,regular,,2013-11-08T22:00:00.000Z,False,True,False,TRNMNT,final,TIP-OFF SHOWCASE,0.0,5,Alabama,24.0,SEC,,73,"[41, 32]",False,1646.0,1612.0,217,Oklahoma,6.0,Big 12,,82,"[40, 42]",True,1640.0,1674.0,,292,American Airlines Center,Dallas,TX
65915,400508054,20132014,2014,regular,,2013-11-08T22:30:00.000Z,False,False,False,STD,final,,4637.0,49,Chattanooga,26.0,SoCon,,119,"[56, 63]",True,1458.0,1727.0,840,Covenant,,,,56,"[29, 27]",False,1413.0,1144.0,22.0,355,McKenzie Arena,Chattanooga,TN
65916,400502658,20132014,2014,regular,,2013-11-08T23:00:00.000Z,False,False,False,STD,final,,11102.0,235,Providence,7.0,Big East,,82,"[27, 43, 12]",True,1603.0,1599.0,26,Boston College,2.0,ACC,,78,"[31, 39, 8]",False,1597.0,1601.0,17.8,82,Amica Mutual Pavilion,Providence,RI
