season,teamId,team,conference,rating
2014,150,Louisville,American,17.9
2014,11,Arizona,Pac-12,16.5
2014,352,Wichita State,MVC,15.8
2014,72,Duke,ACC,14.1
2014,87,Florida,SEC,14.0
2014,339,Virginia,ACC,13.7
2014,355,Wisconsin,Big Ten,12.8
2014,61,Creighton,Big East,12.6
2014,313,UCLA,Pac-12,12.3
2014,338,Villanova,Big East,12.3
2014,131,Kansas,Big 12,12.2
2014,229,Pittsburgh,ACC,12.2
2014,333,VCU,A-10,12.1
2014,292,Tennessee,SEC,12.1
2014,102,Gonzaga,WCC,11.6
2014,135,Kentucky,SEC,11.5
2014,169,Michigan State,Big Ten,11.5
2014,149,Louisiana Tech,CUSA,11.3
2014,286,Syracuse,ACC,11.1
2014,107,Harvard,Ivy,11.0
2014,216,Ohio State,Big Ten,11.0
2014,257,San Diego State,Mountain West,10.8
2014,170,Michigan,Big Ten,10.8
2014,124,Iowa,Big Ten,10.6
2014,218,Oklahoma State,Big 12,10.2
2014,125,Iowa State,Big 12,10.2
2014,200,North Carolina,ACC,10.1
2014,192,New Mexico State,WAC,9.8
2014,252,Saint Louis,A-10,9.6
2014,51,Cincinnati,American,9.5
2014,337,Vermont,Am. East,9.4
2014,199,North Carolina Central,MEAC,9.2
2014,191,New Mexico,Mountain West,9.1
2014,223,Oregon,Pac-12,8.9
2014,100,Georgia State,Sun Belt,8.9
2014,248,SMU,American,8.9
2014,164,Mercer,ASUN,8.7
2014,12,Arkansas,SEC,8.6
2014,20,Baylor,Big 12,8.5
2014,314,UConn,American,8.5
2014,202,North Dakota State,Summit,8.3
2014,282,Stephen F. Austin,Southland,8.1
2014,105,Green Bay,Horizon,8.1
2014,123,Iona,MAAC,7.8
2014,155,Manhattan,MAAC,7.8
2014,275,Southern Miss,CUSA,7.7
2014,90,Florida State,ACC,7.6
2014,64,Dayton,A-10,7.5
2014,217,Oklahoma,Big 12,7.5
2014,161,Massachusetts,A-10,7.4
2014,18,BYU,WCC,7.3
2014,52,Clemson,ACC,7.3
2014,96,George Washington,A-10,7.2
2014,22,Belmont,OVC,7.1
2014,281,Stanford,Pac-12,6.5
