season,teamId,team,conference,elo
2023,1,Abilene Christian,Western Athletic Conference,1844
2023,2,Air Force,Mountain West Conference,1690
2023,3,Akron,Mid-American Conference,1970
2023,5,Alabama,Southeastern Conference,2278
2023,4,Alabama A&M,Southwestern Athletic Conference,1542
2023,6,Alabama State,Southwestern Athletic Conference,1343
2023,7,Alcorn State,Southwestern Athletic Conference,1607
2023,8,American University,Patriot League,1513
2023,9,App State,Sun Belt Conference,1835
2023,11,Arizona,Pac-12 Conference,2100
2023,10,Arizona State,Pac-12 Conference,1895
2023,12,Arkansas,Southeastern Conference,1970
2023,14,Arkansas-Pine Bluff,Southwestern Athletic Conference,1474
2023,13,Arkansas State,Sun Belt Conference,1661
2023,15,Army,Patriot League,1681
2023,16,Auburn,Southeastern Conference,1961
2023,17,Austin Peay,ASUN Conference,1478
2023,19,Ball State,Mid-American Conference,1757
2023,20,Baylor,Big 12 Conference,1995
2023,21,Bellarmine,ASUN Conference,1694
2023,22,Belmont,Missouri Valley Conference,1880
2023,23,Bethune-Cookman,Southwestern Athletic Conference,1354
2023,24,Binghamton,America East Conference,1588
2023,25,Boise State,Mountain West Conference,1927
2023,26,Boston College,Atlantic Coast Conference,1632
2023,27,Boston University,Patriot League,1619
2023,28,Bowling Green,Mid-American Conference,1576
2023,29,Bradley,Missouri Valley Conference,1882
2023,30,Brown,Ivy League,1775
2023,31,Bryant,America East Conference,1704
2023,32,Bucknell,Patriot League,1529
2023,33,Buffalo,Mid-American Conference,1722
2023,34,Butler,Big East Conference,1604
2023,18,BYU,West Coast Conference,1948
2023,40,California,Pac-12 Conference,1417
2023,39,California Baptist,Western Athletic Conference,1929
2023,35,Cal Poly,Big West Conference,1543
2023,36,Cal State Bakersfield,Big West Conference,1518
2023,37,Cal State Fullerton,Big West Conference,1851
2023,38,Cal State Northridge,Big West Conference,1437
2023,41,Campbell,Big South Conference,1770
2023,42,Canisius,Metro Atlantic Athletic Conference,1625
2023,43,Central Arkansas,ASUN Conference,1405
2023,44,Central Connecticut,Northeast Conference,1517
2023,45,Central Michigan,Mid-American Conference,1400
2023,46,Charleston,Coastal Athletic Association,2052
2023,47,Charleston Southern,Big South Conference,1638
2023,48,Charlotte,Conference USA,1870
2023,49,Chattanooga,Southern Conference,1818
2023,50,Chicago State,Division I Independents,1633
2023,51,Cincinnati,American Athletic Conference,2007
2023,52,Clemson,Atlantic Coast Conference,1925
2023,53,Cleveland State,Horizon League,1785
2023,54,Coastal Carolina,Sun Belt Conference,1549
2023,55,Colgate,Patriot League,1898
2023,56,Colorado,Pac-12 Conference,1828
2023,57,Colorado State,Mountain West Conference,1783
2023,58,Columbia,Ivy League,1470
2023,59,Coppin State,Mid-Eastern Athletic Conference,1457
2023,60,Cornell,Ivy League,1737
2023,61,Creighton,Big East Conference,2058
2023,62,Dartmouth,Ivy League,1675
2023,63,Davidson,Atlantic 10 Conference,1716
2023,64,Dayton,Atlantic 10 Conference,1877
2023,66,Delaware,Coastal Athletic Association,1577
2023,67,Delaware State,Mid-Eastern Athletic Conference,1323
2023,68,Denver,Summit League,1545
2023,65,DePaul,Big East Conference,1643
2023,69,Detroit Mercy,Horizon League,1800
2023,70,Drake,Missouri Valley Conference,2116
2023,71,Drexel,Coastal Athletic Association,1730
2023,72,Duke,Atlantic Coast Conference,2094
2023,73,Duquesne,Atlantic 10 Conference,1659
2023,74,East Carolina,American Athletic Conference,1658
2023,77,Eastern Illinois,Ohio Valley Conference,1573
2023,78,Eastern Kentucky,ASUN Conference,1917
