season,teamId,team,conference,offensiveRating,defensiveRating,netRating,rankings
2015,135,Kentucky,SEC,114.2,87.1,27.1,"{'offense': 9, 'defense': 1, 'net': 1}"
2015,355,Wisconsin,Big Ten,120.8,96.3,24.5,"{'offense': 3, 'defense': 29, 'net': 2}"
2015,72,Duke,ACC,119.4,95.3,24.2,"{'offense': 4, 'defense': 15, 'net': 3}"
2015,11,Arizona,Pac-12,113.7,90.9,22.8,"{'offense': 11, 'defense': 3, 'net': 4}"
2015,339,Virginia,ACC,110.8,88.7,22.2,"{'offense': 24, 'defense': 2, 'net': 5}"
2015,338,Villanova,Big East,115.5,93.6,21.9,"{'offense': 7, 'defense': 9, 'net': 6}"
2015,102,Gonzaga,WCC,115.3,94.5,20.8,"{'offense': 8, 'defense': 10, 'net': 7}"
2015,331,Utah,Pac-12,112.6,92.7,19.9,"{'offense': 15, 'defense': 5, 'net': 8}"
2015,240,Rhode Island,A-10,131.7,114.0,17.7,"{'offense': 1, 'defense': 345, 'net': 9}"
2015,213,Notre Dame,ACC,119.3,101.8,17.5,"{'offense': 5, 'defense': 145, 'net': 10}"
2015,352,Wichita State,MVC,111.1,94.6,16.5,"{'offense': 22, 'defense': 11, 'net': 11}"
2015,200,North Carolina,ACC,113.3,96.9,16.3,"{'offense': 13, 'defense': 36, 'net': 12}"
2015,216,Ohio State,Big Ten,112.1,96.1,16.0,"{'offense': 18, 'defense': 27, 'net': 13}"
2015,209,Northern Iowa,MVC,111.9,96.3,15.6,"{'offense': 19, 'defense': 29, 'net': 14}"
2015,217,Oklahoma,Big 12,107.4,92.8,14.6,"{'offense': 61, 'defense': 6, 'net': 15}"
2015,20,Baylor,Big 12,110.3,95.7,14.6,"{'offense': 29, 'defense': 19, 'net': 15}"
2015,169,Michigan State,Big Ten,110.0,95.9,14.1,"{'offense': 31, 'defense': 23, 'net': 17}"
2015,131,Kansas,Big 12,109.2,95.3,14.0,"{'offense': 39, 'defense': 15, 'net': 18}"
2015,125,Iowa State,Big 12,112.3,98.5,13.9,"{'offense': 17, 'defense': 67, 'net': 19}"
2015,150,Louisville,ACC,105.9,92.8,13.1,"{'offense': 85, 'defense': 6, 'net': 20}"
2015,282,Stephen F. Austin,Southland,111.6,98.6,13.1,"{'offense': 21, 'defense': 71, 'net': 20}"
2015,248,SMU,American,108.9,96.0,13.0,"{'offense': 43, 'defense': 26, 'net': 22}"
2015,359,Xavier,Big East,110.7,98.0,12.8,"{'offense': 26, 'defense': 55, 'net': 23}"
2015,34,Butler,Big East,105.8,93.2,12.6,"{'offense': 88, 'defense': 8, 'net': 24}"
2015,295,Texas,Big 12,108.0,95.4,12.5,"{'offense': 50, 'defense': 17, 'net': 25}"
2015,25,Boise State,Mountain West,110.4,98.4,12.1,"{'offense': 28, 'defense': 66, 'net': 26}"
2015,124,Iowa,Big Ten,107.9,95.9,12.1,"{'offense': 53, 'defense': 23, 'net': 26}"
2015,18,BYU,WCC,111.9,100.6,11.3,"{'offense': 19, 'defense': 112, 'net': 28}"
2015,184,Murray State,OVC,113.0,101.7,11.3,"{'offense': 14, 'defense': 141, 'net': 28}"
2015,63,Davidson,A-10,113.8,102.7,11.1,"{'offense': 10, 'defense': 167, 'net': 30}"
2015,333,VCU,A-10,107.3,96.2,11.0,"{'offense': 62, 'defense': 28, 'net': 31}"
2015,97,Georgetown,Big East,108.0,97.1,10.9,"{'offense': 50, 'defense': 42, 'net': 32}"
2015,257,San Diego State,Mountain West,102.0,91.3,10.7,"{'offense': 187, 'defense': 4, 'net': 33}"
2015,64,Dayton,A-10,105.7,95.1,10.7,"{'offense': 94, 'defense': 13, 'net': 33}"
2015,347,West Virginia,Big 12,106.4,95.8,10.6,"{'offense': 77, 'defense': 21, 'net': 35}"
