season,teamId,team,conference,elo
2018,1,Abilene Christian,Southland Conference,1637
2018,2,Air Force,Mountain West Conference,1605
2018,3,Akron,Mid-American Conference,1535
2018,5,Alabama,Southeastern Conference,1885
2018,4,Alabama A&M,Southwestern Athletic Conference,1087
2018,6,Alabama State,Southwestern Athletic Conference,1356
2018,7,Alcorn State,Southwestern Athletic Conference,1375
2018,8,American University,Patriot League,1410
2018,9,App State,Sun Belt Conference,1696
2018,11,Arizona,Pac-12 Conference,1959
2018,10,Arizona State,Pac-12 Conference,1827
2018,12,Arkansas,Southeastern Conference,1887
2018,14,Arkansas-Pine Bluff,Southwestern Athletic Conference,1447
2018,13,Arkansas State,Sun Belt Conference,1508
2018,15,Army,Patriot League,1435
2018,16,Auburn,Southeastern Conference,1889
2018,17,Austin Peay,Ohio Valley Conference,1682
2018,19,Ball State,Mid-American Conference,1682
2018,20,Baylor,Big 12 Conference,1942
2018,22,Belmont,Ohio Valley Conference,1890
2018,23,Bethune-Cookman,Mid-Eastern Athletic Conference,1567
2018,24,Binghamton,America East Conference,1556
2018,25,Boise State,Mountain West Conference,1935
2018,26,Boston College,Atlantic Coast Conference,1804
2018,27,Boston University,Patriot League,1533
2018,28,Bowling Green,Mid-American Conference,1546
2018,29,Bradley,Missouri Valley Conference,1674
2018,30,Brown,Ivy League,1484
2018,31,Bryant,Northeast Conference,1237
2018,32,Bucknell,Patriot League,1971
2018,33,Buffalo,Mid-American Conference,2010
2018,34,Butler,Big East Conference,2058
2018,18,BYU,West Coast Conference,1835
2018,40,California,Pac-12 Conference,1425
2018,35,Cal Poly,Big West Conference,1372
2018,36,Cal State Bakersfield,Western Athletic Conference,1629
2018,37,Cal State Fullerton,Big West Conference,1742
2018,38,Cal State Northridge,Big West Conference,1364
2018,41,Campbell,Big South Conference,1699
2018,42,Canisius,Metro Atlantic Athletic Conference,1765
2018,43,Central Arkansas,Southland Conference,1636
2018,44,Central Connecticut,Northeast Conference,1445
2018,45,Central Michigan,Mid-American Conference,1759
2018,46,Charleston,Coastal Athletic Association,1869
2018,47,Charleston Southern,Big South Conference,1695
2018,48,Charlotte,Conference USA,1402
2018,49,Chattanooga,Southern Conference,1551
2018,50,Chicago State,Western Athletic Conference,1288
2018,51,Cincinnati,American Athletic Conference,2121
2018,52,Clemson,Atlantic Coast Conference,2088
2018,53,Cleveland State,Horizon League,1551
2018,54,Coastal Carolina,Sun Belt Conference,1617
2018,55,Colgate,Patriot League,1639
2018,56,Colorado,Pac-12 Conference,1709
2018,57,Colorado State,Mountain West Conference,1477
2018,58,Columbia,Ivy League,1612
2018,59,Coppin State,Mid-Eastern Athletic Conference,1249
2018,60,Cornell,Ivy League,1524
2018,61,Creighton,Big East Conference,1962
2018,62,Dartmouth,Ivy League,1434
2018,63,Davidson,Atlantic 10 Conference,1968
2018,64,Dayton,Atlantic 10 Conference,1595
2018,66,Delaware,Coastal Athletic Association,1520
2018,67,Delaware State,Mid-Eastern Athletic Conference,1181
2018,68,Denver,Summit League,1855
2018,65,DePaul,Big East Conference,1761
2018,69,Detroit Mercy,Horizon League,1415
2018,70,Drake,Missouri Valley Conference,1672
2018,71,Drexel,Coastal Athletic Association,1596
2018,72,Duke,Atlantic Coast Conference,2231
2018,73,Duquesne,Atlantic 10 Conference,1525
2018,74,East Carolina,American Athletic Conference,1325
2018,77,Eastern Illinois,Ohio Valley Conference,1561
2018,78,Eastern Kentucky,Ohio Valley Conference,1542
2018,79,Eastern Michigan,Mid-American Conference,1831
2018,80,Eastern Washington,Big Sky Conference,1749
2018,75,East Tennessee State,Southern Conference,1901
