teamId,team,season,playerId,dateOfBirth
95,George Mason,2022,16021,
95,George Mason,2022,16023,
95,George Mason,2022,16381,2000-03-01
95,George Mason,2022,17400,
95,George Mason,2022,19974,
95,George Mason,2022,21728,
95,George Mason,2022,26436,1999-02-15
95,George Mason,2022,26437,
95,George Mason,2022,26438,
95,George Mason,2022,26439,
95,George Mason,2022,31243,
200,North Carolina,2022,239,
200,North Carolina,2022,268,
200,North Carolina,2022,2855,
200,North Carolina,2022,3961,
200,North Carolina,2022,4127,
200,North Carolina,2022,4135,
200,North Carolina,2022,7585,
200,North Carolina,2022,8305,
200,North Carolina,2022,15377,2000-03-06
200,North Carolina,2022,15381,
200,North Carolina,2022,15382,
200,North Carolina,2022,15383,
200,North Carolina,2022,18195,
200,North Carolina,2022,19846,1999-06-14
200,North Carolina,2022,19848,
200,North Carolina,2022,22718,
200,North Carolina,2022,25827,1998-09-04
200,North Carolina,2022,25828,
72,Duke,2022,160,
72,Duke,2022,215,
72,Duke,2022,217,
72,Duke,2022,910,
72,Duke,2022,19902,2003-08-25
72,Duke,2022,20050,2000-09-13
72,Duke,2022,27623,2002-11-12
72,Duke,2022,27624,2001-09-18
72,Duke,2022,27625,2001-12-16
72,Duke,2022,27626,2003-08-26
72,Duke,2022,27627,1998-08-25
72,Duke,2022,27628,
72,Duke,2022,27629,
72,Duke,2022,27630,
185,NC State,2022,67,
185,NC State,2022,2166,
185,NC State,2022,2569,
185,NC State,2022,2864,
185,NC State,2022,3437,
185,NC State,2022,6202,
185,NC State,2022,15972,
185,NC State,2022,15973,
185,NC State,2022,20217,2000-03-14
185,NC State,2022,21608,2002-12-31
185,NC State,2022,21610,
185,NC State,2022,27213,1999-10-06
185,NC State,2022,27214,2000-05-26
185,NC State,2022,27215,
339,Virginia,2022,303,
339,Virginia,2022,434,
339,Virginia,2022,4594,
339,Virginia,2022,8197,
339,Virginia,2022,16139,2001-10-08
339,Virginia,2022,20005,
339,Virginia,2022,20006,2000-11-17
339,Virginia,2022,20007,2000-01-25
339,Virginia,2022,20009,
339,Virginia,2022,20010,
339,Virginia,2022,20542,
339,Virginia,2022,25869,
339,Virginia,2022,25870,
339,Virginia,2022,28231,
342,Wake Forest,2022,514,
342,Wake Forest,2022,2288,
342,Wake Forest,2022,3358,
342,Wake Forest,2022,3854,
342,Wake Forest,2022,5231,
342,Wake Forest,2022,5770,
342,Wake Forest,2022,5782,
342,Wake Forest,2022,5783,
342,Wake Forest,2022,6860,
342,Wake Forest,2022,21590,
342,Wake Forest,2022,21593,
342,Wake Forest,2022,27910,
342,Wake Forest,2022,27911,1999-04-22
342,Wake Forest,2022,27912,2001-11-03
342,Wake Forest,2022,27913,1999-06-19
342,Wake Forest,2022,27914,
342,Wake Forest,2022,27915,
342,Wake Forest,2022,27916,
342,Wake Forest,2022,27917,
52,Clemson,2022,2852,
52,Clemson,2022,3447,
52,Clemson,2022,3452,
52,Clemson,2022,3450,
52,Clemson,2022,4571,
52,Clemson,2022,5745,
52,Clemson,2022,15948,2002-02-21
52,Clemson,2022,16251,
52,Clemson,2022,16435,
52,Clemson,2022,20878,2000-06-13
52,Clemson,2022,20880,
52,Clemson,2022,20881,
52,Clemson,2022,26475,1998-05-31
52,Clemson,2022,26476,
52,Clemson,2022,26477,
101,Georgia Tech,2022,5,
101,Georgia Tech,2022,337,
101,Georgia Tech,2022,1435,
101,Georgia Tech,2022,2459,
101,Georgia Tech,2022,6234,
101,Georgia Tech,2022,7718,
101,Georgia Tech,2022,16213,
101,Georgia Tech,2022,16752,
101,Georgia Tech,2022,21065,
101,Georgia Tech,2022,21066,
101,Georgia Tech,2022,21067,
