season,teamId,team,conference,offensiveRating,defensiveRating,netRating,rankings
2022,102,Gonzaga,WCC,121.1,89.5,31.6,"{'offense': 2, 'defense': 6, 'net': 1}"
2022,113,Houston,American,117.8,87.9,29.8,"{'offense': 9, 'defense': 3, 'net': 2}"
2022,11,Arizona,Pac-12,119.0,91.9,27.1,"{'offense': 7, 'defense': 15, 'net': 3}"
2022,20,Baylor,Big 12,117.4,90.5,27.0,"{'offense': 10, 'defense': 11, 'net': 4}"
2022,131,Kansas,Big 12,119.4,93.0,26.4,"{'offense': 6, 'defense': 19, 'net': 5}"
2022,298,Texas Tech,Big 12,112.8,86.9,25.9,"{'offense': 33, 'defense': 1, 'net': 6}"
2022,135,Kentucky,SEC,119.8,94.0,25.8,"{'offense': 5, 'defense': 27, 'net': 7}"
2022,292,Tennessee,SEC,113.3,87.6,25.7,"{'offense': 28, 'defense': 2, 'net': 8}"
2022,338,Villanova,Big East,117.9,92.7,25.2,"{'offense': 8, 'defense': 18, 'net': 9}"
2022,72,Duke,ACC,120.9,96.1,24.8,"{'offense': 4, 'defense': 43, 'net': 10}"
2022,313,UCLA,Pac-12,116.0,92.3,23.6,"{'offense': 13, 'defense': 17, 'net': 11}"
2022,236,Purdue,Big Ten,121.7,98.1,23.6,"{'offense': 1, 'defense': 70, 'net': 11}"
2022,124,Iowa,Big Ten,121.0,98.5,22.5,"{'offense': 3, 'defense': 78, 'net': 13}"
2022,16,Auburn,SEC,112.6,90.2,22.4,"{'offense': 36, 'defense': 10, 'net': 14}"
2022,295,Texas,Big 12,112.7,91.4,21.3,"{'offense': 34, 'defense': 13, 'net': 15}"
2022,118,Illinois,Big Ten,114.9,94.5,20.3,"{'offense': 19, 'defense': 29, 'net': 16}"
2022,253,Saint Mary's,WCC,111.2,91.3,19.9,"{'offense': 47, 'defense': 12, 'net': 17}"
2022,136,LSU,SEC,107.5,88.0,19.5,"{'offense': 96, 'defense': 4, 'net': 18}"
2022,200,North Carolina,ACC,115.8,96.6,19.2,"{'offense': 15, 'defense': 48, 'net': 19}"
2022,314,UConn,Big East,114.5,95.5,19.0,"{'offense': 21, 'defense': 40, 'net': 20}"
