season,teamId,team,conference,elo
2016,1,Abilene Christian,Southland Conference,1513
2016,2,Air Force,Mountain West Conference,1539
2016,3,Akron,Mid-American Conference,1853
2016,5,Alabama,Southeastern Conference,1718
2016,4,Alabama A&M,Southwestern Athletic Conference,1338
2016,6,Alabama State,Southwestern Athletic Conference,1451
2016,7,Alcorn State,Southwestern Athletic Conference,1443
2016,8,American University,Patriot League,1433
2016,9,App State,Sun Belt Conference,1519
2016,11,Arizona,Pac-12 Conference,2094
2016,10,Arizona State,Pac-12 Conference,1699
2016,12,Arkansas,Southeastern Conference,1765
2016,14,Arkansas-Pine Bluff,Southwestern Athletic Conference,1221
2016,13,Arkansas State,Sun Belt Conference,1543
2016,15,Army,Patriot League,1417
2016,16,Auburn,Southeastern Conference,1431
2016,17,Austin Peay,Ohio Valley Conference,1681
2016,19,Ball State,Mid-American Conference,1799
2016,20,Baylor,Big 12 Conference,1978
2016,22,Belmont,Ohio Valley Conference,1727
2016,23,Bethune-Cookman,Mid-Eastern Athletic Conference,1423
2016,24,Binghamton,America East Conference,1402
2016,25,Boise State,Mountain West Conference,1883
2016,26,Boston College,Atlantic Coast Conference,1445
2016,27,Boston University,Patriot League,1528
2016,28,Bowling Green,Mid-American Conference,1549
2016,29,Bradley,Missouri Valley Conference,1329
2016,30,Brown,Ivy League,1545
2016,31,Bryant,Northeast Conference,1155
2016,32,Bucknell,Patriot League,1663
2016,33,Buffalo,Mid-American Conference,1791
2016,34,Butler,Big East Conference,1934
2016,18,BYU,West Coast Conference,2045
2016,40,California,Pac-12 Conference,1991
2016,35,Cal Poly,Big West Conference,1562
2016,36,Cal State Bakersfield,Western Athletic Conference,1865
2016,37,Cal State Fullerton,Big West Conference,1443
2016,38,Cal State Northridge,Big West Conference,1554
2016,41,Campbell,Big South Conference,1598
2016,42,Canisius,Metro Atlantic Athletic Conference,1454
2016,43,Central Arkansas,Southland Conference,1413
2016,44,Central Connecticut,Northeast Conference,1141
2016,45,Central Michigan,Mid-American Conference,1753
2016,46,Charleston,Coastal Athletic Association,1764
2016,47,Charleston Southern,Big South Conference,1583
2016,48,Charlotte,Conference USA,1625
2016,49,Chattanooga,Southern Conference,1780
2016,50,Chicago State,Western Athletic Conference,1239
2016,51,Cincinnati,American Athletic Conference,1927
2016,52,Clemson,Atlantic Coast Conference,1873
2016,53,Cleveland State,Horizon League,1485
2016,54,Coastal Carolina,Big South Conference,1727
2016,55,Colgate,Patriot League,1502
2016,56,Colorado,Pac-12 Conference,1873
2016,57,Colorado State,Mountain West Conference,1756
2016,58,Columbia,Ivy League,1882
2016,59,Coppin State,Mid-Eastern Athletic Conference,1379
2016,60,Cornell,Ivy League,1462
2016,61,Creighton,Big East Conference,1977
2016,62,Dartmouth,Ivy League,1668
2016,63,Davidson,Atlantic 10 Conference,1715
2016,64,Dayton,Atlantic 10 Conference,1816
2016,66,Delaware,Coastal Athletic Association,1405
2016,67,Delaware State,Mid-Eastern Athletic Conference,1277
2016,68,Denver,Summit League,1647
2016,65,DePaul,Big East Conference,1495
2016,69,Detroit Mercy,Horizon League,1736
2016,70,Drake,Missouri Valley Conference,1483
2016,71,Drexel,Coastal Athletic Association,1520
