season,teamId,team,conference,rating
2021,102,Gonzaga,WCC,20.9
2021,20,Baylor,Big 12,18.5
2021,113,Houston,American,16.1
2021,151,Loyola Chicago,MVC,14.0
2021,170,Michigan,Big Ten,13.4
2021,118,Illinois,Big Ten,13.4
2021,55,Colgate,Patriot,13.2
2021,357,Wright State,Horizon,12.7
2021,5,Alabama,SEC,12.4
2021,1,Abilene Christian,Southland,12.2
2021,354,Winthrop,Big South,11.5
2021,124,Iowa,Big Ten,11.3
2021,257,San Diego State,Mountain West,11.0
2021,12,Arkansas,SEC,10.8
2021,338,Villanova,Big East,10.7
2021,298,Texas Tech,Big 12,10.2
2021,90,Florida State,ACC,10.1
2021,163,Memphis,American,10.0
2021,323,USC,Pac-12,9.8
2021,56,Colorado,Pac-12,9.7
2021,18,BYU,WCC,9.6
2021,339,Virginia,ACC,9.4
2021,311,UC Santa Barbara,Big West,9.1
2021,136,LSU,SEC,8.9
2021,277,St. Bonaventure,A-10,8.9
2021,329,Utah State,Mountain West,8.9
2021,61,Creighton,Big East,8.8
2021,70,Drake,MVC,8.7
2021,347,West Virginia,Big 12,8.7
2021,22,Belmont,OVC,8.7
2021,25,Boise State,Mountain West,8.7
2021,314,UConn,Big East,8.4
2021,295,Texas,Big 12,8.4
2021,142,Liberty,ASUN,8.4
2021,216,Ohio State,Big Ten,8.3
2021,292,Tennessee,SEC,8.2
2021,345,Weber State,Big Sky,8.1
2021,158,Marshall,CUSA,8.0
2021,333,VCU,A-10,8.0
2021,300,Toledo,MAC,8.0
2021,313,UCLA,Pac-12,7.5
2021,80,Eastern Washington,Big Sky,7.5
2021,355,Wisconsin,Big Ten,7.4
2021,131,Kansas,Big 12,7.3
2021,200,North Carolina,ACC,7.2
2021,242,Richmond,A-10,7.2
2021,252,Saint Louis,A-10,7.2
2021,337,Vermont,Am. East,7.1
2021,248,SMU,American,7.1
2021,340,Virginia Tech,ACC,7.1
2021,217,Oklahoma,Big 12,7.0
2021,87,Florida,SEC,7.0
2021,93,Furman,SoCon,7.0
2021,33,Buffalo,MAC,7.0
2021,57,Colorado State,Mountain West,7.0
2021,204,North Texas,CUSA,6.9
2021,286,Syracuse,ACC,6.9
2021,236,Purdue,Big Ten,6.8
2021,223,Oregon,Pac-12,6.7
2021,320,UNC Greensboro,SoCon,6.7
2021,149,Louisiana Tech,CUSA,6.5
2021,101,Georgia Tech,ACC,6.4
2021,305,UAB,CUSA,6.4
2021,218,Oklahoma State,Big 12,6.3
2021,282,Stephen F. Austin,Southland,6.3
2021,72,Duke,ACC,6.2
2021,11,Arizona,Pac-12,6.2
2021,31,Bryant,NEC,5.9
2021,123,Iona,MAAC,5.9
2021,104,Grand Canyon,WAC,5.8
2021,52,Clemson,ACC,5.8
2021,220,Ole Miss,SEC,5.8
2021,63,Davidson,A-10,5.5
2021,215,Ohio,MAC,5.3
2021,177,Missouri,SEC,5.2
2021,309,UC Riverside,Big West,5.1
2021,308,UC Irvine,Big West,5.1
2021,176,Missouri State,MVC,5.0
2021,160,Maryland,Big Ten,4.9
