season,teamId,team,conference,rating
2025,72,Duke,ACC,22.2
2025,16,Auburn,SEC,18.9
2025,87,Florida,SEC,18.5
2025,113,Houston,Big 12,18.4
2025,5,Alabama,SEC,16.2
2025,102,Gonzaga,WCC,15.8
2025,169,Michigan State,Big Ten,15.1
2025,160,Maryland,Big Ten,15.1
2025,292,Tennessee,SEC,14.7
2025,125,Iowa State,Big 12,14.1
2025,298,Texas Tech,Big 12,13.7
2025,279,St. John's,Big East,13.3
2025,236,Purdue,Big Ten,13.3
2025,355,Wisconsin,Big Ten,12.7
2025,52,Clemson,ACC,12.7
2025,310,UC San Diego,Big West,12.4
2025,135,Kentucky,SEC,12.3
2025,313,UCLA,Big Ten,12.3
2025,333,VCU,A-10,12.2
2025,118,Illinois,Big Ten,12.0
2025,293,Texas A&M,SEC,11.5
2025,253,Saint Mary's,WCC,11.5
2025,11,Arizona,Big 12,11.3
2025,150,Louisville,ACC,11.1
2025,177,Missouri,SEC,10.9
2025,170,Michigan,Big Ten,10.8
2025,162,McNeese,Southland,10.8
2025,220,Ole Miss,SEC,10.8
2025,223,Oregon,Big Ten,10.6
2025,131,Kansas,Big 12,10.3
2025,174,Mississippi State,SEC,10.0
2025,191,New Mexico,Mountain West,9.9
2025,18,BYU,Big 12,9.7
2025,360,Yale,Ivy,9.7
2025,157,Marquette,Big East,9.7
2025,200,North Carolina,ACC,9.6
2025,216,Ohio State,Big Ten,9.5
2025,163,Memphis,American,9.2
2025,314,UConn,Big East,9.0
2025,25,Boise State,Mountain West,8.8
2025,20,Baylor,Big 12,8.8
2025,248,SMU,ACC,8.7
2025,12,Arkansas,SEC,8.6
2025,308,UC Irvine,Big West,8.6
2025,109,High Point,Big South,8.4
2025,57,Colorado State,Mountain West,8.4
2025,70,Drake,MVC,8.2
2025,98,Georgia,SEC,8.1
2025,13,Arkansas State,Sun Belt,8.0
2025,261,Santa Clara,WCC,7.8
2025,143,Lipscomb,ASUN,7.6
2025,61,Creighton,Big East,7.6
2025,226,Penn State,Big Ten,7.6
2025,142,Liberty,CUSA,7.4
2025,329,Utah State,Mountain West,7.3
2025,188,Nebraska,Big Ten,7.2
2025,121,Indiana,Big Ten,7.2
2025,359,Xavier,Big East,6.9
2025,204,North Texas,American,6.8
2025,3,Akron,MAC,6.7
2025,217,Oklahoma,SEC,6.7
2025,229,Pittsburgh,ACC,6.7
2025,336,Vanderbilt,SEC,6.6
2025,257,San Diego State,Mountain West,6.5
2025,212,Northwestern,Big Ten,6.4
2025,295,Texas,SEC,6.4
2025,51,Cincinnati,Big 12,6.2
2025,323,USC,Big Ten,6.1
2025,347,West Virginia,Big 12,6.0
2025,95,George Mason,A-10,6.0
2025,251,Saint Joseph's,A-10,5.9
2025,259,San Francisco,WCC,5.6
2025,338,Villanova,Big East,5.5
2025,104,Grand Canyon,WAC,5.5
2025,302,Troy,Sun Belt,5.5
2025,49,Chattanooga,SoCon,5.5
2025,64,Dayton,A-10,5.2
2025,29,Bradley,MVC,5.1
2025,224,Oregon State,WCC,5.1
2025,321,UNC Wilmington,CAA,5.0
2025,31,Bryant,Am. East,5.0
2025,256,Samford,SoCon,5.0
2025,332,Utah Valley,WAC,5.0
2025,124,Iowa,Big Ten,4.8
2025,197,North Alabama,ASUN,4.8
2025,280,St. Thomas-Minnesota,Summit,4.6
2025,207,Northern Colorado,Big Sky,4.5
2025,44,Central Connecticut,NEC,4.3
2025,305,UAB,American,4.2
2025,60,Cornell,Ivy,4.2
2025,189,Nevada,Mountain West,4.2
2025,209,Northern Iowa,MVC,4.1
2025,134,Kent State,MAC,4.1
2025,270,South Dakota State,Summit,3.9
2025,172,Milwaukee,Horizon,3.9
2025,38,Cal State Northridge,Big West,3.9
2025,202,North Dakota State,Summit,3.9
2025,356,Wofford,SoCon,3.9
2025,196,Norfolk State,MEAC,3.9
2025,281,Stanford,ACC,3.9
2025,265,South Alabama,Sun Belt,3.8
2025,245,Rutgers,Big Ten,3.6
2025,342,Wake Forest,ACC,3.6
2025,331,Utah,Big 12,3.5
2025,267,South Carolina State,MEAC,3.3
2025,90,Florida State,ACC,3.3
2025,244,Robert Morris,Horizon,3.2
2025,132,Kansas State,Big 12,3.2
2025,312,UCF,Big 12,2.9
2025,167,Miami (OH),MAC,2.9
2025,93,Furman,SoCon,2.8
2025,75,East Tennessee State,SoCon,2.8
2025,277,St. Bonaventure,A-10,2.7
2025,320,UNC Greensboro,SoCon,2.7
2025,237,Purdue Fort Wayne,Horizon,2.6
2025,266,South Carolina,SEC,2.6
2025,86,Florida Atlantic,American,2.5
2025,151,Loyola Chicago,A-10,2.3
2025,128,Jacksonville State,CUSA,2.3
2025,272,Southeast Missouri State,OVC,2.2
2025,171,Middle Tennessee,CUSA,2.2
2025,96,George Washington,A-10,2.2
2025,294,Texas A&M-Corpus Christi,Southland,2.1
2025,119,Illinois State,MVC,2.1
2025,287,TCU,Big 12,2.1
2025,10,Arizona State,Big 12,2.1
2025,213,Notre Dame,ACC,2.0
2025,252,Saint Louis,A-10,1.9
2025,173,Minnesota,Big Ten,1.9
2025,149,Louisiana Tech,CUSA,1.8
2025,46,Charleston,CAA,1.8
2025,301,Towson,CAA,1.8
2025,262,Seattle U,WAC,1.8
2025,97,Georgetown,Big East,1.7
2025,53,Cleveland State,Horizon,1.7
2025,136,LSU,SEC,1.6
2025,322,UNLV,Mountain West,1.6
2025,166,Merrimack,MAAC,1.6
2025,34,Butler,Big East,1.5
2025,22,Belmont,MVC,1.4
2025,158,Marshall,Sun Belt,1.3
2025,354,Winthrop,Big South,1.3
2025,129,James Madison,Sun Belt,1.3
2025,9,App State,Sun Belt,1.1
2025,238,Quinnipiac,MAAC,1.1
2025,344,Washington State,WCC,1.0
2025,240,Rhode Island,A-10,1.0
2025,179,Montana,Big Sky,1.0
2025,88,Florida Gulf Coast,ASUN,1.0
2025,221,Omaha,Summit,0.9
2025,184,Murray State,MVC,0.9
2025,239,Radford,Big South,0.9
2025,195,Nicholls,Southland,0.9
2025,154,Maine,Am. East,0.8
2025,352,Wichita State,American,0.7
2025,339,Virginia,ACC,0.6
2025,101,Georgia Tech,ACC,0.6
2025,247,SIU Edwardsville,OVC,0.6
2025,303,Tulane,American,0.6
2025,73,Duquesne,A-10,0.6
2025,311,UC Santa Barbara,Big West,0.5
2025,192,New Mexico State,CUSA,0.5
2025,139,Lamar,Southland,0.5
2025,78,Eastern Kentucky,ASUN,0.5
2025,39,California Baptist,WAC,0.4
2025,185,NC State,ACC,0.4
2025,144,Little Rock,OVC,0.4
2025,215,Ohio,MAC,0.4
2025,40,California,ACC,0.3
2025,133,Kennesaw State,CUSA,0.2
2025,71,Drexel,CAA,0.2
2025,32,Bucknell,Patriot,0.2
2025,319,UNC Asheville,Big South,0.2
2025,63,Davidson,A-10,0.2
2025,56,Colorado,Big 12,0.1
2025,274,Southern,SWAC,0.0
2025,127,Jacksonville,ASUN,0.0
2025,235,Providence,Big East,-0.1
2025,350,Western Kentucky,CUSA,-0.1
2025,246,SE Louisiana,Southland,-0.2
2025,214,Oakland,Horizon,-0.2
2025,81,Elon,CAA,-0.2
2025,180,Montana State,Big Sky,-0.2
2025,286,Syracuse,ACC,-0.3
2025,343,Washington,Big Ten,-0.4
2025,234,Princeton,Ivy,-0.4
2025,309,UC Riverside,Big West,-0.4
2025,318,UMass Lowell,Am. East,-0.4
2025,361,Youngstown State,Horizon,-0.5
2025,231,Portland State,Big Sky,-0.5
2025,290,Tennessee State,OVC,-0.5
2025,147,Longwood,Big South,-0.5
2025,297,Texas State,Sun Belt,-0.6
2025,337,Vermont,Am. East,-0.6
2025,289,Temple,American,-0.6
2025,315,UIC,MVC,-0.6
2025,126,Jackson State,SWAC,-0.7
2025,218,Oklahoma State,Big 12,-0.7
2025,45,Central Michigan,MAC,-0.7
2025,327,UTEP,CUSA,-0.7
2025,62,Dartmouth,Ivy,-0.8
2025,264,Siena,MAAC,-0.9
2025,205,Northeastern,CAA,-0.9
2025,116,Idaho State,Big Sky,-0.9
2025,8,American University,Patriot,-1.1
2025,110,Hofstra,CAA,-1.1
2025,183,Mount St. Mary's,MAAC,-1.1
2025,74,East Carolina,American,-1.2
2025,155,Manhattan,MAAC,-1.2
2025,120,Incarnate Word,Southland,-1.3
2025,362,Queens University,ASUN,-1.4
2025,357,Wright State,Horizon,-1.4
2025,106,Hampton,CAA,-1.5
2025,55,Colgate,Patriot,-1.6
2025,210,Northern Kentucky,Horizon,-1.6
2025,241,Rice,American,-1.6
2025,30,Brown,Ivy,-1.7
2025,6,Alabama State,SWAC,-1.7
2025,41,Campbell,CAA,-1.7
2025,153,Loyola Marymount,WCC,-1.7
2025,35,Cal Poly,Big West,-1.8
2025,250,Sacred Heart,MAAC,-1.8
2025,156,Marist,MAAC,-1.8
2025,328,UTSA,American,-2.0
2025,122,Indiana State,MVC,-2.1
2025,123,Iona,MAAC,-2.2
2025,66,Delaware,CAA,-2.2
2025,340,Virginia Tech,ACC,-2.2
2025,65,DePaul,Big East,-2.3
2025,353,William & Mary,CAA,-2.3
2025,300,Toledo,MAC,-2.4
2025,255,Sam Houston,CUSA,-2.5
2025,130,Kansas City,Summit,-2.6
2025,206,Northern Arizona,Big Sky,-2.7
2025,273,Southern Illinois,MVC,-2.8
2025,233,Presbyterian,Big South,-2.8
2025,187,Navy,Patriot,-2.8
2025,146,Long Island University,NEC,-2.9
2025,271,South Florida,American,-3.0
2025,306,UAlbany,Am. East,-3.0
2025,296,Texas Southern,SWAC,-3.0
2025,325,UT Martin,OVC,-3.1
2025,324,UT Arlington,WAC,-3.1
