season,teamId,team,conference,elo
2019,1,Abilene Christian,Southland Conference,1806
2019,2,Air Force,Mountain West Conference,1523
2019,3,Akron,Mid-American Conference,1820
2019,5,Alabama,Southeastern Conference,1806
2019,4,Alabama A&M,Southwestern Athletic Conference,1283
2019,6,Alabama State,Southwestern Athletic Conference,1345
2019,7,Alcorn State,Southwestern Athletic Conference,1262
2019,8,American University,Patriot League,1642
2019,9,App State,Sun Belt Conference,1663
2019,11,Arizona,Pac-12 Conference,1661
2019,10,Arizona State,Pac-12 Conference,1809
2019,12,Arkansas,Southeastern Conference,1926
2019,14,Arkansas-Pine Bluff,Southwestern Athletic Conference,1539
2019,13,Arkansas State,Sun Belt Conference,1616
2019,15,Army,Patriot League,1543
2019,16,Auburn,Southeastern Conference,2246
2019,17,Austin Peay,Ohio Valley Conference,1882
2019,19,Ball State,Mid-American Conference,1778
2019,20,Baylor,Big 12 Conference,1936
2019,22,Belmont,Ohio Valley Conference,2105
2019,23,Bethune-Cookman,Mid-Eastern Athletic Conference,1528
2019,24,Binghamton,America East Conference,1486
2019,25,Boise State,Mountain West Conference,1788
2019,26,Boston College,Atlantic Coast Conference,1712
2019,27,Boston University,Patriot League,1573
2019,28,Bowling Green,Mid-American Conference,1841
2019,29,Bradley,Missouri Valley Conference,1762
2019,30,Brown,Ivy League,1748
2019,31,Bryant,Northeast Conference,1497
2019,32,Bucknell,Patriot League,1766
2019,33,Buffalo,Mid-American Conference,2138
2019,34,Butler,Big East Conference,1730
2019,18,BYU,West Coast Conference,1805
2019,40,California,Pac-12 Conference,1517
2019,39,California Baptist,Western Athletic Conference,1757
2019,35,Cal Poly,Big West Conference,1376
2019,36,Cal State Bakersfield,Western Athletic Conference,1649
2019,37,Cal State Fullerton,Big West Conference,1597
2019,38,Cal State Northridge,Big West Conference,1655
2019,41,Campbell,Big South Conference,1816
2019,42,Canisius,Metro Atlantic Athletic Conference,1401
2019,43,Central Arkansas,Southland Conference,1544
2019,44,Central Connecticut,Northeast Conference,1371
2019,45,Central Michigan,Mid-American Conference,1827
2019,46,Charleston,Coastal Athletic Association,1732
2019,47,Charleston Southern,Big South Conference,1859
2019,48,Charlotte,Conference USA,1458
2019,49,Chattanooga,Southern Conference,1608
2019,50,Chicago State,Western Athletic Conference,1128
2019,51,Cincinnati,American Athletic Conference,1966
2019,52,Clemson,Atlantic Coast Conference,1973
2019,53,Cleveland State,Horizon League,1551
2019,54,Coastal Carolina,Sun Belt Conference,1761
2019,55,Colgate,Patriot League,1815
2019,56,Colorado,Pac-12 Conference,1875
2019,57,Colorado State,Mountain West Conference,1704
2019,58,Columbia,Ivy League,1689
2019,59,Coppin State,Mid-Eastern Athletic Conference,1327
2019,60,Cornell,Ivy League,1627
2019,61,Creighton,Big East Conference,1938
2019,62,Dartmouth,Ivy League,1597
2019,63,Davidson,Atlantic 10 Conference,1741
2019,64,Dayton,Atlantic 10 Conference,1903
2019,66,Delaware,Coastal Athletic Association,1496
2019,67,Delaware State,Mid-Eastern Athletic Conference,1165
2019,68,Denver,Summit League,1496
2019,65,DePaul,Big East Conference,1773
2019,69,Detroit Mercy,Horizon League,1517
2019,70,Drake,Missouri Valley Conference,1758
2019,71,Drexel,Coastal Athletic Association,1464
2019,72,Duke,Atlantic Coast Conference,2257
2019,73,Duquesne,Atlantic 10 Conference,1611
2019,74,East Carolina,American Athletic Conference,1431
2019,77,Eastern Illinois,Ohio Valley Conference,1466
2019,78,Eastern Kentucky,Ohio Valley Conference,1632
2019,79,Eastern Michigan,Mid-American Conference,1710
2019,80,Eastern Washington,Big Sky Conference,1791
2019,75,East Tennessee State,Southern Conference,1888
2019,81,Elon,Coastal Athletic Association,1537
2019,82,Evansville,Missouri Valley Conference,1534
2019,83,Fairfield,Metro Atlantic Athletic Conference,1421
2019,84,Fairleigh Dickinson,Northeast Conference,1728
2019,87,Florida,Southeastern Conference,2022
2019,85,Florida A&M,Mid-Eastern Athletic Conference,1448
2019,86,Florida Atlantic,Conference USA,1692
2019,88,Florida Gulf Coast,ASUN Conference,1624
2019,89,Florida International,Conference USA,1561
2019,90,Florida State,Atlantic Coast Conference,2180
2019,91,Fordham,Atlantic 10 Conference,1436
2019,92,Fresno State,Mountain West Conference,1856
2019,93,Furman,Southern Conference,2014
2019,94,Gardner-Webb,Big South Conference,1901
2019,95,George Mason,Atlantic 10 Conference,1593
2019,97,Georgetown,Big East Conference,1729
2019,96,George Washington,Atlantic 10 Conference,1386
2019,98,Georgia,Southeastern Conference,1631
2019,99,Georgia Southern,Sun Belt Conference,1906
2019,100,Georgia State,Sun Belt Conference,1823
2019,101,Georgia Tech,Atlantic Coast Conference,1703
2019,102,Gonzaga,West Coast Conference,2371
2019,103,Grambling,Southwestern Athletic Conference,1579
2019,104,Grand Canyon,Western Athletic Conference,1783
2019,105,Green Bay,Horizon League,1738
2019,106,Hampton,Big South Conference,1828
2019,363,Hartford,America East Conference,1755
2019,107,Harvard,Ivy League,1783
2019,108,Hawai'i,Big West Conference,1672
2019,109,High Point,Big South Conference,1687
2019,110,Hofstra,Coastal Athletic Association,1827
2019,111,Holy Cross,Patriot League,1471
2019,113,Houston,American Athletic Conference,2189
2019,112,Houston Christian,Southland Conference,1652
2019,114,Howard,Mid-Eastern Athletic Conference,1542
2019,117,Idaho,Big Sky Conference,1303
2019,116,Idaho State,Big Sky Conference,1398
2019,118,Illinois,Big Ten Conference,1700
2019,119,Illinois State,Missouri Valley Conference,1572
2019,120,Incarnate Word,Southland Conference,1334
2019,121,Indiana,Big Ten Conference,1862
2019,122,Indiana State,Missouri Valley Conference,1575
2019,123,Iona,Metro Atlantic Athletic Conference,1702
2019,124,Iowa,Big Ten Conference,1875
2019,125,Iowa State,Big 12 Conference,2035
2019,115,IU Indianapolis,Horizon League,1686
2019,126,Jackson State,Southwestern Athletic Conference,1387
2019,127,Jacksonville,ASUN Conference,1609
2019,128,Jacksonville State,Ohio Valley Conference,1886
2019,129,James Madison,Coastal Athletic Association,1491
2019,131,Kansas,Big 12 Conference,2010
2019,130,Kansas City,Western Athletic Conference,1638
2019,132,Kansas State,Big 12 Conference,2031
2019,133,Kennesaw State,ASUN Conference,1355
2019,134,Kent State,Mid-American Conference,1778
2019,135,Kentucky,Southeastern Conference,2245
2019,138,Lafayette,Patriot League,1431
2019,139,Lamar,Southland Conference,1854
2019,137,La Salle,Atlantic 10 Conference,1513
2019,141,Lehigh,Patriot League,1605
2019,142,Liberty,ASUN Conference,1893
2019,143,Lipscomb,ASUN Conference,1972
2019,144,Little Rock,Sun Belt Conference,1614
2019,145,Long Beach State,Big West Conference,1645
2019,146,Long Island University,Northeast Conference,1672
2019,147,Longwood,Big South Conference,1669
2019,148,Louisiana,Sun Belt Conference,1697
2019,149,Louisiana Tech,Conference USA,1678
2019,150,Louisville,Atlantic Coast Conference,2015
2019,151,Loyola Chicago,Missouri Valley Conference,1819
2019,152,Loyola Maryland,Patriot League,1560
2019,153,Loyola Marymount,West Coast Conference,1814
2019,136,LSU,Southeastern Conference,1986
2019,154,Maine,America East Conference,1397
2019,155,Manhattan,Metro Atlantic Athletic Conference,1396
2019,156,Marist,Metro Atlantic Athletic Conference,1421
2019,157,Marquette,Big East Conference,1998
2019,158,Marshall,Conference USA,1778
2019,160,Maryland,Big Ten Conference,1951
2019,159,Maryland Eastern Shore,Mid-Eastern Athletic Conference,1205
2019,161,Massachusetts,Atlantic 10 Conference,1449
2019,162,McNeese,Southland Conference,1439
2019,163,Memphis,American Athletic Conference,1934
2019,164,Mercer,Southern Conference,1618
2019,168,Miami,Atlantic Coast Conference,1817
2019,167,Miami (OH),Mid-American Conference,1734
2019,170,Michigan,Big Ten Conference,2176
2019,169,Michigan State,Big Ten Conference,2210
2019,171,Middle Tennessee,Conference USA,1588
2019,172,Milwaukee,Horizon League,1476
2019,173,Minnesota,Big Ten Conference,1876
2019,174,Mississippi State,Southeastern Conference,2031
2019,175,Mississippi Valley State,Southwestern Athletic Conference,1185
2019,177,Missouri,Southeastern Conference,1850
2019,176,Missouri State,Missouri Valley Conference,1666
2019,178,Monmouth,Metro Atlantic Athletic Conference,1447
2019,179,Montana,Big Sky Conference,1914
2019,180,Montana State,Big Sky Conference,1657
2019,181,Morehead State,Ohio Valley Conference,1601
2019,182,Morgan State,Mid-Eastern Athletic Conference,1298
2019,183,Mount St. Mary's,Northeast Conference,1506
2019,184,Murray State,Ohio Valley Conference,2054
2019,187,Navy,Patriot League,1562
2019,185,NC State,Atlantic Coast Conference,1983
2019,188,Nebraska,Big Ten Conference,1805
2019,189,Nevada,Mountain West Conference,2021
2019,190,New Hampshire,America East Conference,1349
2019,191,New Mexico,Mountain West Conference,1661
2019,192,New Mexico State,Western Athletic Conference,2106
2019,193,New Orleans,Southland Conference,1645
2019,194,Niagara,Metro Atlantic Athletic Conference,1346
2019,195,Nicholls,Southland Conference,1587
2019,186,NJIT,ASUN Conference,1650
2019,196,Norfolk State,Mid-Eastern Athletic Conference,1640
2019,197,North Alabama,ASUN Conference,1549
2019,200,North Carolina,Atlantic Coast Conference,2228
2019,198,North Carolina A&T,Mid-Eastern Athletic Conference,1566
2019,199,North Carolina Central,Mid-Eastern Athletic Conference,1578
2019,201,North Dakota,Summit League,1617
2019,202,North Dakota State,Summit League,1721
2019,205,Northeastern,Coastal Athletic Association,1780
2019,206,Northern Arizona,Big Sky Conference,1582
2019,207,Northern Colorado,Big Sky Conference,1720
2019,208,Northern Illinois,Mid-American Conference,1791
2019,209,Northern Iowa,Missouri Valley Conference,1716
2019,210,Northern Kentucky,Horizon League,1858
2019,203,North Florida,ASUN Conference,1653
2019,204,North Texas,Conference USA,1637
2019,212,Northwestern,Big Ten Conference,1756
2019,211,Northwestern State,Southland Conference,1343
2019,213,Notre Dame,Atlantic Coast Conference,1749
2019,214,Oakland,Horizon League,1733
2019,215,Ohio,Mid-American Conference,1695
2019,216,Ohio State,Big Ten Conference,1844
2019,217,Oklahoma,Big 12 Conference,1961
2019,218,Oklahoma State,Big 12 Conference,1720
2019,219,Old Dominion,Conference USA,1767
2019,220,Ole Miss,Southeastern Conference,1814
2019,221,Omaha,Summit League,1748
2019,222,Oral Roberts,Summit League,1546
2019,223,Oregon,Pac-12 Conference,2118
2019,224,Oregon State,Pac-12 Conference,1737
2019,225,Pacific,West Coast Conference,1588
2019,226,Penn State,Big Ten Conference,1957
2019,227,Pennsylvania,Ivy League,1793
2019,228,Pepperdine,West Coast Conference,1799
2019,229,Pittsburgh,Atlantic Coast Conference,1756
2019,230,Portland,West Coast Conference,1389
