season,teamId,team,conference,elo
2025,1,Abilene Christian,Western Athletic Conference,1706
2025,2,Air Force,Mountain West Conference,1395
2025,3,Akron,Mid-American Conference,1886
2025,5,Alabama,Southeastern Conference,2317
2025,4,Alabama A&M,Southwestern Athletic Conference,1241
2025,6,Alabama State,Southwestern Athletic Conference,1643
2025,7,Alcorn State,Southwestern Athletic Conference,1430
2025,8,American University,Patriot League,1672
2025,9,App State,Sun Belt Conference,1737
2025,11,Arizona,Big 12 Conference,2230
2025,10,Arizona State,Big 12 Conference,1770
2025,12,Arkansas,Southeastern Conference,2092
2025,14,Arkansas-Pine Bluff,Southwestern Athletic Conference,1258
2025,13,Arkansas State,Sun Belt Conference,2010
2025,15,Army,Patriot League,1429
2025,16,Auburn,Southeastern Conference,2308
2025,17,Austin Peay,ASUN Conference,1615
2025,19,Ball State,Mid-American Conference,1645
2025,20,Baylor,Big 12 Conference,2052
2025,21,Bellarmine,ASUN Conference,1510
2025,22,Belmont,Missouri Valley Conference,1852
2025,23,Bethune-Cookman,Southwestern Athletic Conference,1455
2025,24,Binghamton,America East Conference,1613
2025,25,Boise State,Mountain West Conference,2065
2025,26,Boston College,Atlantic Coast Conference,1588
2025,27,Boston University,Patriot League,1560
2025,28,Bowling Green,Mid-American Conference,1592
2025,29,Bradley,Missouri Valley Conference,1956
2025,30,Brown,Ivy League,1726
2025,31,Bryant,America East Conference,1928
2025,32,Bucknell,Patriot League,1751
2025,33,Buffalo,Mid-American Conference,1450
2025,34,Butler,Big East Conference,1827
2025,18,BYU,Big 12 Conference,2096
2025,40,California,Atlantic Coast Conference,1746
2025,39,California Baptist,Western Athletic Conference,1745
2025,35,Cal Poly,Big West Conference,1812
2025,36,Cal State Bakersfield,Big West Conference,1643
2025,37,Cal State Fullerton,Big West Conference,1264
2025,38,Cal State Northridge,Big West Conference,1833
2025,41,Campbell,Coastal Athletic Association,1642
2025,42,Canisius,Metro Atlantic Athletic Conference,1260
2025,43,Central Arkansas,ASUN Conference,1467
2025,44,Central Connecticut,Northeast Conference,1882
2025,45,Central Michigan,Mid-American Conference,1767
2025,46,Charleston,Coastal Athletic Association,1804
2025,47,Charleston Southern,Big South Conference,1530
2025,48,Charlotte,American Athletic Conference,1614
2025,49,Chattanooga,Southern Conference,2002
2025,50,Chicago State,Northeast Conference,1427
2025,51,Cincinnati,Big 12 Conference,1929
2025,52,Clemson,Atlantic Coast Conference,2102
2025,53,Cleveland State,Horizon League,1833
2025,54,Coastal Carolina,Sun Belt Conference,1486
2025,55,Colgate,Patriot League,1607
2025,56,Colorado,Big 12 Conference,1828
2025,57,Colorado State,Mountain West Conference,2131
2025,58,Columbia,Ivy League,1560
2025,59,Coppin State,Mid-Eastern Athletic Conference,1395
2025,60,Cornell,Ivy League,1959
2025,61,Creighton,Big East Conference,2031
2025,62,Dartmouth,Ivy League,1869
2025,63,Davidson,Atlantic 10 Conference,1750
2025,64,Dayton,Atlantic 10 Conference,1924
2025,66,Delaware,Coastal Athletic Association,1747
2025,67,Delaware State,Mid-Eastern Athletic Conference,1689
2025,68,Denver,Summit League,1614
2025,65,DePaul,Big East Conference,1673
2025,69,Detroit Mercy,Horizon League,1450
2025,70,Drake,Missouri Valley Conference,2061
2025,71,Drexel,Coastal Athletic Association,1774
2025,72,Duke,Atlantic Coast Conference,2497
2025,73,Duquesne,Atlantic 10 Conference,1850
2025,74,East Carolina,American Athletic Conference,1681
2025,77,Eastern Illinois,Ohio Valley Conference,1738
2025,78,Eastern Kentucky,ASUN Conference,1777
2025,79,Eastern Michigan,Mid-American Conference,1674
2025,80,Eastern Washington,Big Sky Conference,1607
2025,75,East Tennessee State,Southern Conference,1846
