season,teamId,team,conference,offensiveRating,defensiveRating,netRating,rankings
2020,353,William & Mary,CAA,1148.5,591.7,556.8,"{'offense': 1, 'defense': 351, 'net': 1}"
2020,281,Stanford,Pac-12,95.6,73.5,22.0,"{'offense': 331, 'defense': 2, 'net': 2}"
2020,217,Oklahoma,Big 12,97.0,76.0,21.0,"{'offense': 326, 'defense': 4, 'net': 3}"
2020,102,Gonzaga,WCC,121.0,100.4,20.6,"{'offense': 8, 'defense': 37, 'net': 4}"
2020,131,Kansas,Big 12,114.9,95.3,19.6,"{'offense': 17, 'defense': 15, 'net': 5}"
2020,64,Dayton,A-10,116.8,100.2,16.7,"{'offense': 12, 'defense': 35, 'net': 6}"
2020,257,San Diego State,Mountain West,113.3,97.0,16.3,"{'offense': 25, 'defense': 18, 'net': 7}"
2020,72,Duke,ACC,114.8,98.7,16.2,"{'offense': 19, 'defense': 24, 'net': 8}"
2020,356,Wofford,SoCon,97.0,81.6,15.5,"{'offense': 326, 'defense': 10, 'net': 9}"
2020,20,Baylor,Big 12,112.5,97.1,15.4,"{'offense': 35, 'defense': 19, 'net': 10}"
2020,33,Buffalo,MAC,94.6,80.3,14.3,"{'offense': 333, 'defense': 8, 'net': 11}"
2020,18,BYU,WCC,116.3,102.1,14.2,"{'offense': 13, 'defense': 74, 'net': 12}"
2020,169,Michigan State,Big Ten,113.2,99.3,13.9,"{'offense': 26, 'defense': 25, 'net': 13}"
2020,11,Arizona,Pac-12,111.8,98.0,13.7,"{'offense': 44, 'defense': 21, 'net': 14}"
2020,347,West Virginia,Big 12,109.0,95.6,13.4,"{'offense': 106, 'defense': 16, 'net': 15}"
2020,75,East Tennessee State,SoCon,114.5,101.5,13.0,"{'offense': 21, 'defense': 59, 'net': 16}"
2020,223,Oregon,Pac-12,117.0,104.0,13.0,"{'offense': 11, 'defense': 113, 'net': 16}"
2020,150,Louisville,ACC,112.7,100.5,12.2,"{'offense': 32, 'defense': 39, 'net': 18}"
2020,298,Texas Tech,Big 12,110.5,98.5,12.0,"{'offense': 69, 'defense': 22, 'net': 19}"
2020,113,Houston,American,111.8,100.1,11.6,"{'offense': 44, 'defense': 31, 'net': 20}"
2020,216,Ohio State,Big Ten,111.4,100.1,11.3,"{'offense': 54, 'defense': 31, 'net': 21}"
2020,90,Florida State,ACC,111.7,100.5,11.2,"{'offense': 49, 'defense': 39, 'net': 22}"
2020,22,Belmont,OVC,112.6,101.8,10.8,"{'offense': 33, 'defense': 68, 'net': 23}"
2020,209,Northern Iowa,MVC,116.0,105.2,10.8,"{'offense': 14, 'defense': 151, 'net': 23}"
2020,34,Butler,Big East,112.2,101.8,10.5,"{'offense': 40, 'defense': 68, 'net': 25}"
2020,338,Villanova,Big East,113.2,102.6,10.5,"{'offense': 26, 'defense': 83, 'net': 25}"
2020,329,Utah State,Mountain West,109.9,99.7,10.3,"{'offense': 80, 'defense': 29, 'net': 27}"
2020,360,Yale,Ivy,109.5,99.6,9.9,"{'offense': 94, 'defense': 26, 'net': 28}"
2020,61,Creighton,Big East,116.0,106.2,9.8,"{'offense': 14, 'defense': 176, 'net': 29}"
2020,160,Maryland,Big Ten,111.7,102.0,9.7,"{'offense': 49, 'defense': 72, 'net': 30}"
2020,56,Colorado,Pac-12,109.7,100.1,9.7,"{'offense': 84, 'defense': 31, 'net': 30}"
2020,263,Seton Hall,Big East,110.5,100.9,9.6,"{'offense': 69, 'defense': 48, 'net': 32}"
