season,teamId,team,conference,elo
2020,1,Abilene Christian,Southland Conference,1847
2020,2,Air Force,Mountain West Conference,1639
2020,3,Akron,Mid-American Conference,1916
2020,5,Alabama,Southeastern Conference,1840
2020,4,Alabama A&M,Southwestern Athletic Conference,1256
2020,6,Alabama State,Southwestern Athletic Conference,1375
2020,7,Alcorn State,Southwestern Athletic Conference,1490
2020,8,American University,Patriot League,1724
2020,9,App State,Sun Belt Conference,1691
2020,11,Arizona,Pac-12 Conference,1972
2020,10,Arizona State,Pac-12 Conference,1822
2020,12,Arkansas,Southeastern Conference,1857
2020,14,Arkansas-Pine Bluff,Southwestern Athletic Conference,1226
2020,13,Arkansas State,Sun Belt Conference,1596
2020,15,Army,Patriot League,1529
2020,16,Auburn,Southeastern Conference,1949
2020,17,Austin Peay,Ohio Valley Conference,1828
2020,19,Ball State,Mid-American Conference,1870
2020,20,Baylor,Big 12 Conference,2052
2020,22,Belmont,Ohio Valley Conference,1966
2020,23,Bethune-Cookman,Mid-Eastern Athletic Conference,1603
2020,24,Binghamton,America East Conference,1444
2020,25,Boise State,Mountain West Conference,1901
2020,26,Boston College,Atlantic Coast Conference,1494
2020,27,Boston University,Patriot League,1741
2020,28,Bowling Green,Mid-American Conference,1717
2020,29,Bradley,Missouri Valley Conference,1833
2020,30,Brown,Ivy League,1705
2020,31,Bryant,Northeast Conference,1624
2020,32,Bucknell,Patriot League,1572
2020,33,Buffalo,Mid-American Conference,1764
2020,34,Butler,Big East Conference,1923
2020,18,BYU,West Coast Conference,2138
2020,40,California,Pac-12 Conference,1637
2020,39,California Baptist,Western Athletic Conference,1774
2020,35,Cal Poly,Big West Conference,1483
2020,36,Cal State Bakersfield,Western Athletic Conference,1613
2020,37,Cal State Fullerton,Big West Conference,1594
2020,38,Cal State Northridge,Big West Conference,1642
2020,41,Campbell,Big South Conference,1627
2020,42,Canisius,Metro Atlantic Athletic Conference,1448
2020,43,Central Arkansas,Southland Conference,1590
2020,44,Central Connecticut,Northeast Conference,1333
2020,45,Central Michigan,Mid-American Conference,1614
2020,46,Charleston,Coastal Athletic Association,1648
2020,47,Charleston Southern,Big South Conference,1515
2020,48,Charlotte,Conference USA,1701
2020,49,Chattanooga,Southern Conference,1994
2020,50,Chicago State,Western Athletic Conference,1130
2020,51,Cincinnati,American Athletic Conference,1964
2020,52,Clemson,Atlantic Coast Conference,1849
2020,53,Cleveland State,Horizon League,1482
2020,54,Coastal Carolina,Sun Belt Conference,1695
2020,55,Colgate,Patriot League,1841
2020,56,Colorado,Pac-12 Conference,1835
2020,57,Colorado State,Mountain West Conference,1801
