season,teamId,team,conference,rating
2024,314,UConn,Big East,18.2
2024,113,Houston,Big 12,17.3
2024,11,Arizona,Pac-12,16.4
2024,236,Purdue,Big Ten,16.3
2024,16,Auburn,SEC,16.2
2024,292,Tennessee,SEC,14.5
2024,72,Duke,ACC,14.1
2024,102,Gonzaga,WCC,14.0
2024,200,North Carolina,ACC,13.9
2024,125,Iowa State,Big 12,13.2
2024,118,Illinois,Big Ten,12.7
2024,5,Alabama,SEC,12.4
2024,253,Saint Mary's,WCC,11.8
2024,162,McNeese,Southland,11.7
2024,61,Creighton,Big East,11.6
2024,104,Grand Canyon,WAC,10.9
2024,122,Indiana State,MVC,10.9
2024,18,BYU,Big 12,10.8
2024,129,James Madison,Sun Belt,10.8
2024,64,Dayton,A-10,10.7
2024,20,Baylor,Big 12,10.5
2024,135,Kentucky,SEC,10.4
2024,191,New Mexico,Mountain West,10.3
2024,157,Marquette,Big East,10.2
2024,169,Michigan State,Big Ten,9.8
2024,86,Florida Atlantic,American,9.8
2024,257,San Diego State,Mountain West,9.5
2024,52,Clemson,ACC,9.4
2024,329,Utah State,Mountain West,9.0
2024,256,Samford,SoCon,8.9
2024,234,Princeton,Ivy,8.9
2024,131,Kansas,Big 12,8.9
2024,295,Texas,Big 12,8.9
2024,51,Cincinnati,Big 12,8.7
2024,9,App State,Sun Belt,8.3
2024,56,Colorado,Pac-12,8.2
2024,308,UC Irvine,Big West,8.1
2024,87,Florida,SEC,8.1
2024,70,Drake,MVC,8.1
2024,342,Wake Forest,ACC,8.1
2024,189,Nevada,Mountain West,8.1
2024,287,TCU,Big 12,8.0
2024,57,Colorado State,Mountain West,8.0
2024,279,St. John's,Big East,7.9
2024,188,Nebraska,Big Ten,7.8
2024,355,Wisconsin,Big Ten,7.7
2024,29,Bradley,MVC,7.7
2024,298,Texas Tech,Big 12,7.5
2024,248,SMU,American,7.5
2024,259,San Francisco,WCC,7.4
2024,217,Oklahoma,Big 12,7.3
2024,229,Pittsburgh,ACC,7.2
2024,25,Boise State,Mountain West,7.1
2024,149,Louisiana Tech,CUSA,7.1
2024,360,Yale,Ivy,7.0
2024,174,Mississippi State,SEC,7.0
2024,293,Texas A&M,SEC,6.6
2024,337,Vermont,Am. East,6.5
2024,216,Ohio State,Big Ten,6.5
2024,338,Villanova,Big East,6.4
2024,161,Massachusetts,A-10,6.3
2024,344,Washington State,Pac-12,6.3
2024,181,Morehead State,OVC,6.2
2024,46,Charleston,CAA,6.1
2024,340,Virginia Tech,ACC,6.1
2024,271,South Florida,American,6.1
2024,60,Cornell,Ivy,6.0
2024,333,VCU,A-10,5.9
2024,331,Utah,Pac-12,5.7
2024,109,High Point,Big South,5.6
2024,163,Memphis,American,5.6
2024,124,Iowa,Big Ten,5.6
2024,55,Colgate,Patriot,5.6
2024,185,NC State,ACC,5.4
2024,212,Northwestern,Big Ten,5.4
2024,3,Akron,MAC,5.3
2024,262,Seattle U,WAC,5.2
2024,266,South Carolina,SEC,5.1
2024,242,Richmond,A-10,5.1
2024,204,North Texas,American,5.1
2024,95,George Mason,A-10,5.0
2024,348,Western Carolina,SoCon,5.0
2024,277,St. Bonaventure,A-10,5.0
2024,361,Youngstown State,Horizon,4.9
2024,251,Saint Joseph's,A-10,4.8
2024,312,UCF,Big 12,4.8
2024,73,Duquesne,A-10,4.7
2024,339,Virginia,ACC,4.7
2024,263,Seton Hall,Big East,4.7
2024,151,Loyola Chicago,A-10,4.5
2024,110,Hofstra,CAA,4.4
2024,343,Washington,Pac-12,4.4
2024,322,UNLV,Mountain West,4.4
2024,160,Maryland,Big Ten,4.3
2024,26,Boston College,ACC,4.3
2024,321,UNC Wilmington,CAA,4.2
2024,214,Oakland,Horizon,4.2
2024,71,Drexel,CAA,4.1
2024,235,Providence,Big East,4.0
2024,359,Xavier,Big East,3.9
2024,345,Weber State,Big Sky,3.9
2024,350,Western Kentucky,CUSA,3.9
2024,302,Troy,Sun Belt,3.8
2024,237,Purdue Fort Wayne,Horizon,3.8
2024,223,Oregon,Pac-12,3.7
2024,318,UMass Lowell,Am. East,3.7
2024,270,South Dakota State,Summit,3.6
2024,142,Liberty,CUSA,3.6
2024,300,Toledo,MAC,3.6
2024,34,Butler,Big East,3.5
2024,173,Minnesota,Big Ten,3.4
2024,280,St. Thomas-Minnesota,Summit,3.4
2024,324,UT Arlington,WAC,3.4
2024,226,Penn State,Big Ten,3.4
2024,215,Ohio,MAC,3.4
2024,310,UC San Diego,Big West,3.3
2024,357,Wright State,Horizon,3.3
2024,48,Charlotte,American,3.2
2024,132,Kansas State,Big 12,3.1
2024,288,Tarleton State,WAC,3.1
2024,261,Santa Clara,WCC,3.0
2024,238,Quinnipiac,MAAC,2.9
2024,148,Louisiana,Sun Belt,2.8
2024,83,Fairfield,MAAC,2.8
2024,220,Ole Miss,SEC,2.6
2024,305,UAB,American,2.6
2024,22,Belmont,MVC,2.6
2024,166,Merrimack,NEC,2.5
2024,90,Florida State,ACC,2.5
2024,49,Chattanooga,SoCon,2.4
2024,273,Southern Illinois,MVC,2.4
2024,147,Longwood,Big South,2.4
2024,209,Northern Iowa,MVC,2.4
2024,80,Eastern Washington,Big Sky,2.4
2024,179,Montana,Big Sky,2.3
2024,136,LSU,SEC,2.2
2024,294,Texas A&M-Corpus Christi,Southland,2.2
2024,320,UNC Greensboro,SoCon,2.1
2024,98,Georgia,SEC,2.1
2024,13,Arkansas State,Sun Belt,2.0
2024,63,Davidson,A-10,1.9
2024,144,Little Rock,OVC,1.9
2024,66,Delaware,CAA,1.8
2024,143,Lipscomb,ASUN,1.8
2024,319,UNC Asheville,Big South,1.8
2024,286,Syracuse,ACC,1.8
2024,255,Sam Houston,CUSA,1.7
2024,93,Furman,SoCon,1.7
2024,301,Towson,CAA,1.6
2024,323,USC,Pac-12,1.5
2024,168,Miami,ACC,1.3
2024,139,Lamar,Southland,1.3
2024,134,Kent State,MAC,1.0
2024,31,Bryant,Am. East,1.0
2024,325,UT Martin,OVC,0.9
2024,196,Norfolk State,MEAC,0.9
2024,354,Winthrop,Big South,0.9
2024,313,UCLA,Pac-12,0.9
2024,254,Saint Peter's,MAAC,0.9
2024,12,Arkansas,SEC,0.8
2024,156,Marist,MAAC,0.8
2024,53,Cleveland State,Horizon,0.7
2024,282,Stephen F. Austin,WAC,0.7
2024,245,Rutgers,Big Ten,0.7
2024,303,Tulane,American,0.7
2024,307,UC Davis,Big West,0.6
2024,121,Indiana,Big Ten,0.5
2024,210,Northern Kentucky,Horizon,0.5
2024,108,Hawai'i,Big West,0.4
2024,44,Central Connecticut,NEC,0.2
2024,145,Long Beach State,Big West,0.1
2024,285,Stony Brook,CAA,0.1
2024,281,Stanford,Pac-12,0.1
2024,332,Utah Valley,WAC,0.0
2024,123,Iona,MAAC,-0.1
2024,75,East Tennessee State,SoCon,-0.1
2024,199,North Carolina Central,MEAC,-0.1
2024,176,Missouri State,MVC,-0.2
2024,218,Oklahoma State,Big 12,-0.2
2024,352,Wichita State,American,-0.2
2024,184,Murray State,MVC,-0.5
2024,178,Monmouth,CAA,-0.6
2024,183,Mount St. Mary's,MAAC,-0.6
2024,141,Lehigh,Patriot,-0.6
2024,327,UTEP,CUSA,-0.7
2024,207,Northern Colorado,Big Sky,-0.8
2024,195,Nicholls,Southland,-0.8
2024,128,Jacksonville State,CUSA,-0.9
2024,94,Gardner-Webb,Big South,-1.0
2024,78,Eastern Kentucky,ASUN,-1.0
2024,130,Kansas City,Summit,-1.0
2024,311,UC Santa Barbara,Big West,-1.1
2024,28,Bowling Green,MAC,-1.2
2024,39,California Baptist,WAC,-1.2
2024,356,Wofford,SoCon,-1.2
2024,101,Georgia Tech,ACC,-1.3
2024,213,Notre Dame,ACC,-1.3
2024,297,Texas State,Sun Belt,-1.3
2024,283,Stetson,ASUN,-1.3
2024,105,Green Bay,Horizon,-1.4
2024,243,Rider,MAAC,-1.4
2024,153,Loyola Marymount,WCC,-1.4
2024,172,Milwaukee,Horizon,-1.4
2024,114,Howard,MEAC,-1.5
2024,154,Maine,Am. East,-1.5
2024,30,Brown,Ivy,-1.5
2024,180,Montana State,Big Sky,-1.6
2024,32,Bucknell,Patriot,-1.7
2024,100,Georgia State,Sun Belt,-1.7
2024,17,Austin Peay,ASUN,-1.7
2024,119,Illinois State,MVC,-1.7
2024,201,North Dakota,Summit,-1.8
2024,304,Tulsa,American,-1.9
2024,91,Fordham,A-10,-1.9
2024,177,Missouri,SEC,-2.0
2024,239,Radford,Big South,-2.0
2024,296,Texas Southern,SWAC,-2.1
2024,227,Pennsylvania,Ivy,-2.1
2024,164,Mercer,SoCon,-2.2
2024,306,UAlbany,Am. East,-2.2
2024,194,Niagara,MAAC,-2.2
2024,96,George Washington,A-10,-2.3
2024,190,New Hampshire,Am. East,-2.3
2024,349,Western Illinois,OVC,-2.3
2024,40,California,Pac-12,-2.3
2024,265,South Alabama,Sun Belt,-2.4
2024,274,Southern,SWAC,-2.4
2024,358,Wyoming,Mountain West,-2.4
2024,137,La Salle,A-10,-2.4
2024,247,SIU Edwardsville,OVC,-2.4
2024,170,Michigan,Big Ten,-2.5
2024,197,North Alabama,ASUN,-2.5
2024,38,Cal State Northridge,Big West,-2.5
2024,289,Temple,American,-2.6
2024,42,Canisius,MAAC,-2.6
2024,250,Sacred Heart,NEC,-2.6
2024,8,American University,Patriot,-2.6
2024,315,UIC,MVC,-2.6
2024,88,Florida Gulf Coast,ASUN,-2.7
2024,309,UC Riverside,Big West,-2.7
2024,107,Harvard,Ivy,-2.7
2024,10,Arizona State,Pac-12,-2.7
2024,74,East Carolina,American,-2.7
2024,27,Boston University,Patriot,-2.7
2024,341,Wagner,NEC,-2.8
2024,68,Denver,Summit,-2.8
2024,290,Tennessee State,OVC,-2.8
2024,19,Ball State,MAC,-2.9
2024,167,Miami (OH),MAC,-2.9
2024,1,Abilene Christian,WAC,-3.0
2024,82,Evansville,MVC,-3.0
2024,275,Southern Miss,Sun Belt,-3.0
2024,221,Omaha,Summit,-3.0
2024,58,Columbia,Ivy,-3.1
2024,205,Northeastern,CAA,-3.1
2024,116,Idaho State,Big Sky,-3.1
2024,231,Portland State,Big Sky,-3.1
2024,203,North Florida,ASUN,-3.3
2024,140,Le Moyne,NEC,-3.3
2024,36,Cal State Bakersfield,Big West,-3.3
2024,37,Cal State Fullerton,Big West,-3.5
