season,teamId,team,conference,rating
2022,102,Gonzaga,WCC,19.0
2022,113,Houston,American,16.0
2022,11,Arizona,Pac-12,14.8
2022,135,Kentucky,SEC,14.5
2022,16,Auburn,SEC,13.8
2022,131,Kansas,Big 12,13.5
2022,72,Duke,ACC,13.4
2022,20,Baylor,Big 12,13.1
2022,184,Murray State,OVC,12.9
2022,292,Tennessee,SEC,12.9
2022,337,Vermont,Am. East,12.6
2022,298,Texas Tech,Big 12,12.3
2022,124,Iowa,Big Ten,12.3
2022,338,Villanova,Big East,12.0
2022,313,UCLA,Pac-12,11.9
2022,236,Purdue,Big Ten,11.1
2022,270,South Dakota State,Summit,10.6
2022,151,Loyola Chicago,MVC,10.3
2022,253,Saint Mary's,WCC,10.3
2022,136,LSU,SEC,10.1
2022,259,San Francisco,WCC,9.6
2022,12,Arkansas,SEC,9.6
2022,200,North Carolina,ACC,9.6
2022,305,UAB,CUSA,9.5
2022,22,Belmont,OVC,9.3
2022,340,Virginia Tech,ACC,9.2
2022,314,UConn,Big East,9.0
2022,63,Davidson,A-10,8.9
2022,204,North Texas,CUSA,8.9
2022,163,Memphis,American,8.6
2022,118,Illinois,Big Ten,8.6
2022,295,Texas,Big 12,8.6
2022,64,Dayton,A-10,8.6
2022,300,Toledo,MAC,8.5
2022,301,Towson,CAA,8.3
2022,49,Chattanooga,SoCon,8.3
2022,342,Wake Forest,ACC,8.2
2022,5,Alabama,SEC,8.1
2022,257,San Diego State,Mountain West,7.8
2022,93,Furman,SoCon,7.8
2022,123,Iona,MAAC,7.6
2022,344,Washington State,Pac-12,7.5
2022,176,Missouri State,MVC,7.4
2022,25,Boise State,Mountain West,7.4
2022,329,Utah State,Mountain West,7.4
2022,216,Ohio State,Big Ten,7.3
2022,192,New Mexico State,WAC,7.3
2022,213,Notre Dame,ACC,7.3
2022,333,VCU,A-10,7.2
2022,235,Providence,Big East,7.2
2022,252,Saint Louis,A-10,7.0
2022,18,BYU,WCC,6.7
2022,170,Michigan,Big Ten,6.6
2022,55,Colgate,Patriot,6.6
2022,293,Texas A&M,SEC,6.6
2022,57,Colorado State,Mountain West,6.6
2022,174,Mississippi State,SEC,6.4
2022,248,SMU,American,6.4
2022,104,Grand Canyon,WAC,6.3
2022,355,Wisconsin,Big Ten,6.3
2022,323,USC,Pac-12,6.1
2022,358,Wyoming,Mountain West,6.0
2022,92,Fresno State,Mountain West,6.0
2022,70,Drake,MVC,6.0
2022,168,Miami,ACC,5.9
2022,341,Wagner,NEC,5.9
2022,169,Michigan State,Big Ten,5.8
2022,218,Oklahoma State,Big 12,5.7
2022,121,Indiana,Big Ten,5.7
2022,359,Xavier,Big East,5.7
2022,87,Florida,SEC,5.6
2022,171,Middle Tennessee,CUSA,5.6
2022,282,Stephen F. Austin,WAC,5.6
2022,261,Santa Clara,WCC,5.5
2022,277,St. Bonaventure,A-10,5.5
2022,149,Louisiana Tech,CUSA,5.3
2022,217,Oklahoma,Big 12,5.3
2022,33,Buffalo,MAC,5.2
2022,254,Saint Peter's,MAAC,5.2
2022,336,Vanderbilt,SEC,5.1
2022,263,Seton Hall,Big East,5.1
2022,215,Ohio,MAC,5.0
2022,287,TCU,Big 12,5.0
2022,234,Princeton,Ivy,4.9
2022,1,Abilene Christian,WAC,4.9
2022,332,Utah Valley,WAC,4.9
2022,180,Montana State,Big Sky,4.8
2022,262,Seattle U,WAC,4.7
2022,279,St. John's,Big East,4.6
2022,29,Bradley,MVC,4.5
2022,209,Northern Iowa,MVC,4.5
2022,196,Norfolk State,MEAC,4.5
2022,125,Iowa State,Big 12,4.5
2022,52,Clemson,ACC,4.3
2022,3,Akron,MAC,4.1
2022,242,Richmond,A-10,4.1
2022,181,Morehead State,OVC,4.0
2022,61,Creighton,Big East,4.0
2022,157,Marquette,Big East,4.0
2022,286,Syracuse,ACC,4.0
2022,339,Virginia,ACC,3.9
2022,311,UC Santa Barbara,Big West,3.6
2022,356,Wofford,SoCon,3.5
2022,223,Oregon,Pac-12,3.5
2022,147,Longwood,Big South,3.5
2022,322,UNLV,Mountain West,3.3
2022,308,UC Irvine,Big West,3.3
2022,350,Western Kentucky,CUSA,3.3
2022,297,Texas State,Sun Belt,3.3
2022,110,Hofstra,CAA,3.3
2022,255,Sam Houston,WAC,3.1
2022,142,Liberty,ASUN,3.1
2022,51,Cincinnati,American,2.9
2022,276,Southern Utah,Big Sky,2.9
2022,352,Wichita State,American,2.9
2022,187,Navy,Patriot,2.9
2022,202,North Dakota State,Summit,2.9
2022,86,Florida Atlantic,CUSA,2.9
2022,357,Wright State,Horizon,2.8
2022,265,South Alabama,Sun Belt,2.8
2022,222,Oral Roberts,Summit,2.8
2022,296,Texas Southern,SWAC,2.7
2022,56,Colorado,Pac-12,2.7
2022,195,Nicholls,Southland,2.7
2022,214,Oakland,Horizon,2.7
2022,128,Jacksonville State,ASUN,2.7
2022,134,Kent State,MAC,2.6
2022,54,Coastal Carolina,Sun Belt,2.6
2022,31,Bryant,NEC,2.6
2022,212,Northwestern,Big Ten,2.5
2022,345,Weber State,Big Sky,2.5
2022,245,Rutgers,Big Ten,2.5
2022,303,Tulane,American,2.3
2022,95,George Mason,A-10,2.3
2022,53,Cleveland State,Horizon,2.2
2022,132,Kansas State,Big 12,2.2
2022,178,Monmouth,MAAC,2.1
2022,360,Yale,Ivy,2.1
2022,354,Winthrop,Big South,2.0
2022,46,Charleston,CAA,2.0
2022,160,Maryland,Big Ten,2.0
2022,66,Delaware,CAA,2.0
2022,94,Gardner-Webb,Big South,1.9
2022,37,Cal State Fullerton,Big West,1.9
2022,321,UNC Wilmington,CAA,1.8
2022,240,Rhode Island,A-10,1.8
2022,312,UCF,American,1.7
2022,71,Drexel,CAA,1.7
2022,9,App State,Sun Belt,1.6
2022,347,West Virginia,Big 12,1.6
2022,266,South Carolina,SEC,1.5
2022,226,Penn State,Big Ten,1.4
2022,108,Hawai'i,Big West,1.4
2022,127,Jacksonville,ASUN,1.3
2022,273,Southern Illinois,MVC,1.3
2022,327,UTEP,CUSA,1.0
2022,210,Northern Kentucky,Horizon,1.0
2022,220,Ole Miss,SEC,1.0
2022,65,DePaul,Big East,1.0
2022,309,UC Riverside,Big West,1.0
2022,27,Boston University,Patriot,0.9
2022,274,Southern,SWAC,0.8
2022,90,Florida State,ACC,0.7
2022,289,Temple,American,0.6
2022,100,Georgia State,Sun Belt,0.5
2022,145,Long Beach State,Big West,0.4
2022,334,VMI,SoCon,0.4
2022,13,Arkansas State,Sun Belt,0.4
2022,114,Howard,MEAC,0.4
2022,194,Niagara,MAAC,0.3
2022,10,Arizona State,Pac-12,0.3
2022,294,Texas A&M-Corpus Christi,Southland,0.3
2022,319,UNC Asheville,Big South,0.2
2022,288,Tarleton State,WAC,0.2
2022,146,Long Island University,NEC,0.2
2022,80,Eastern Washington,Big Sky,0.1
2022,88,Florida Gulf Coast,ASUN,0.0
2022,41,Campbell,Big South,0.0
2022,148,Louisiana,Sun Belt,0.0
2022,320,UNC Greensboro,SoCon,-0.1
2022,302,Troy,Sun Belt,-0.2
2022,269,South Dakota,Summit,-0.2
2022,207,Northern Colorado,Big Sky,-0.2
2022,60,Cornell,Ivy,-0.2
2022,39,California Baptist,WAC,-0.2
2022,156,Marist,MAAC,-0.2
2022,173,Minnesota,Big Ten,-0.3
2022,219,Old Dominion,CUSA,-0.6
2022,62,Dartmouth,Ivy,-0.6
2022,190,New Hampshire,Am. East,-0.6
2022,83,Fairfield,MAAC,-0.6
2022,150,Louisville,ACC,-0.7
2022,130,Kansas City,Summit,-0.7
2022,183,Mount St. Mary's,NEC,-0.8
2022,75,East Tennessee State,SoCon,-0.8
2022,26,Boston College,ACC,-0.8
2022,69,Detroit Mercy,Horizon,-0.8
2022,189,Nevada,Mountain West,-0.9
2022,230,Portland,WCC,-0.9
2022,21,Bellarmine,ASUN,-0.9
2022,237,Purdue Fort Wayne,Horizon,-0.9
2022,30,Brown,Ivy,-0.9
2022,251,Saint Joseph's,A-10,-1.0
2022,91,Fordham,A-10,-1.1
2022,164,Mercer,SoCon,-1.2
2022,318,UMass Lowell,Am. East,-1.2
2022,343,Washington,Pac-12,-1.3
2022,331,Utah,Pac-12,-1.4
2022,307,UC Davis,Big West,-1.4
2022,119,Illinois State,MVC,-1.4
2022,256,Samford,SoCon,-1.4
2022,107,Harvard,Ivy,-1.4
2022,193,New Orleans,Southland,-1.5
2022,227,Pennsylvania,Ivy,-1.5
2022,185,NC State,ACC,-1.5
2022,152,Loyola Maryland,Patriot,-1.5
2022,48,Charlotte,CUSA,-1.5
2022,361,Youngstown State,Horizon,-1.5
2022,281,Stanford,Pac-12,-1.5
2022,317,UMBC,Am. East,-1.6
2022,285,Stony Brook,Am. East,-1.7
2022,191,New Mexico,Mountain West,-1.8
2022,179,Montana,Big Sky,-1.9
2022,241,Rice,CUSA,-1.9
2022,161,Massachusetts,A-10,-1.9
2022,74,East Carolina,American,-2.1
2022,349,Western Illinois,Summit,-2.3
2022,129,James Madison,CAA,-2.3
2022,246,SE Louisiana,Southland,-2.4
2022,133,Kennesaw State,ASUN,-2.5
2022,324,UT Arlington,Sun Belt,-2.5
2022,167,Miami (OH),MAC,-2.6
2022,238,Quinnipiac,MAAC,-2.6
2022,243,Rider,MAAC,-2.7
2022,109,High Point,Big South,-2.8
2022,316,UL Monroe,Sun Belt,-2.8
2022,231,Portland State,Big Sky,-2.8
2022,335,Valparaiso,MVC,-2.8
2022,7,Alcorn State,SWAC,-2.9
2022,199,North Carolina Central,MEAC,-3.0
2022,40,California,Pac-12,-3.0
2022,304,Tulsa,American,-3.0
2022,315,UIC,Horizon,-3.0
2022,363,Hartford,Am. East,-3.1
2022,264,Siena,MAAC,-3.2
2022,272,Southeast Missouri State,OVC,-3.2
2022,177,Missouri,SEC,-3.2
2022,101,Georgia Tech,ACC,-3.3
2022,34,Butler,Big East,-3.5
2022,122,Indiana State,MVC,-3.5
2022,153,Loyola Marymount,WCC,-3.6
2022,188,Nebraska,Big Ten,-3.6
