season,teamId,team,conference,elo
2017,1,Abilene Christian,Southland Conference,1430
2017,2,Air Force,Mountain West Conference,1507
2017,3,Akron,Mid-American Conference,1846
2017,5,Alabama,Southeastern Conference,1930
2017,4,Alabama A&M,Southwestern Athletic Conference,1152
2017,6,Alabama State,Southwestern Athletic Conference,1262
2017,7,Alcorn State,Southwestern Athletic Conference,1537
2017,8,American University,Patriot League,1410
2017,9,App State,Sun Belt Conference,1522
2017,11,Arizona,Pac-12 Conference,2092
2017,10,Arizona State,Pac-12 Conference,1636
2017,12,Arkansas,Southeastern Conference,1991
2017,14,Arkansas-Pine Bluff,Southwestern Athletic Conference,1130
2017,13,Arkansas State,Sun Belt Conference,1759
2017,15,Army,Patriot League,1529
2017,16,Auburn,Southeastern Conference,1755
2017,17,Austin Peay,Ohio Valley Conference,1494
2017,19,Ball State,Mid-American Conference,1715
2017,20,Baylor,Big 12 Conference,2020
2017,22,Belmont,Ohio Valley Conference,1882
2017,23,Bethune-Cookman,Mid-Eastern Athletic Conference,1253
2017,24,Binghamton,America East Conference,1490
2017,25,Boise State,Mountain West Conference,1737
2017,26,Boston College,Atlantic Coast Conference,1589
2017,27,Boston University,Patriot League,1570
2017,28,Bowling Green,Mid-American Conference,1567
2017,29,Bradley,Missouri Valley Conference,1592
2017,30,Brown,Ivy League,1533
2017,31,Bryant,Northeast Conference,1399
2017,32,Bucknell,Patriot League,1860
2017,33,Buffalo,Mid-American Conference,1793
2017,34,Butler,Big East Conference,2012
2017,18,BYU,West Coast Conference,1786
2017,40,California,Pac-12 Conference,1872
2017,35,Cal Poly,Big West Conference,1424
2017,36,Cal State Bakersfield,Western Athletic Conference,1857
2017,37,Cal State Fullerton,Big West Conference,1610
2017,38,Cal State Northridge,Big West Conference,1452
2017,41,Campbell,Big South Conference,1653
2017,42,Canisius,Metro Atlantic Athletic Conference,1604
2017,43,Central Arkansas,Southland Conference,1400
2017,44,Central Connecticut,Northeast Conference,1210
2017,45,Central Michigan,Mid-American Conference,1514
2017,46,Charleston,Coastal Athletic Association,1836
2017,47,Charleston Southern,Big South Conference,1549
2017,48,Charlotte,Conference USA,1522
2017,49,Chattanooga,Southern Conference,1683
2017,50,Chicago State,Western Athletic Conference,1301
2017,51,Cincinnati,American Athletic Conference,2027
2017,52,Clemson,Atlantic Coast Conference,1834
2017,53,Cleveland State,Horizon League,1521
2017,54,Coastal Carolina,Sun Belt Conference,1599
2017,55,Colgate,Patriot League,1520
2017,56,Colorado,Pac-12 Conference,1825
2017,57,Colorado State,Mountain West Conference,1810
2017,58,Columbia,Ivy League,1596
2017,59,Coppin State,Mid-Eastern Athletic Conference,1219
2017,60,Cornell,Ivy League,1573
2017,61,Creighton,Big East Conference,1983
2017,62,Dartmouth,Ivy League,1449
2017,63,Davidson,Atlantic 10 Conference,1717
2017,64,Dayton,Atlantic 10 Conference,1912
2017,66,Delaware,Coastal Athletic Association,1478
2017,67,Delaware State,Mid-Eastern Athletic Conference,1296
2017,68,Denver,Summit League,1655
2017,65,DePaul,Big East Conference,1577
2017,69,Detroit Mercy,Horizon League,1430
2017,70,Drake,Missouri Valley Conference,1429
2017,71,Drexel,Coastal Athletic Association,1568
2017,72,Duke,Atlantic Coast Conference,2143
2017,73,Duquesne,Atlantic 10 Conference,1485
2017,74,East Carolina,American Athletic Conference,1648
2017,77,Eastern Illinois,Ohio Valley Conference,1604
2017,78,Eastern Kentucky,Ohio Valley Conference,1542
2017,79,Eastern Michigan,Mid-American Conference,1748
2017,80,Eastern Washington,Big Sky Conference,1710
2017,75,East Tennessee State,Southern Conference,1923
2017,81,Elon,Coastal Athletic Association,1751
2017,82,Evansville,Missouri Valley Conference,1653
2017,83,Fairfield,Metro Atlantic Athletic Conference,1546
2017,84,Fairleigh Dickinson,Northeast Conference,1456
