season,teamId,team,conference,offensiveRating,defensiveRating,netRating,rankings
2023,229,Pittsburgh,ACC,160.4,123.2,37.2,"{'offense': 1, 'defense': 359, 'net': 1}"
2023,236,Purdue,Big Ten,130.6,121.8,8.9,"{'offense': 2, 'defense': 358, 'net': 2}"
2023,113,Houston,American,108.8,102.7,6.1,"{'offense': 7, 'defense': 2, 'net': 3}"
2023,314,UConn,Big East,108.8,103.9,4.8,"{'offense': 7, 'defense': 8, 'net': 4}"
2023,5,Alabama,SEC,107.9,103.3,4.6,"{'offense': 23, 'defense': 5, 'net': 5}"
2023,292,Tennessee,SEC,107.0,102.6,4.5,"{'offense': 79, 'defense': 1, 'net': 6}"
2023,313,UCLA,Pac-12,107.4,103.1,4.3,"{'offense': 53, 'defense': 3, 'net': 7}"
2023,86,Florida Atlantic,CUSA,108.3,104.4,4.0,"{'offense': 14, 'defense': 15, 'net': 8}"
2023,102,Gonzaga,WCC,109.7,106.1,3.6,"{'offense': 5, 'defense': 156, 'net': 9}"
2023,46,Charleston,CAA,107.9,104.3,3.6,"{'offense': 23, 'defense': 13, 'net': 9}"
2023,295,Texas,Big 12,107.9,104.4,3.5,"{'offense': 23, 'defense': 15, 'net': 11}"
2023,123,Iona,MAAC,107.9,104.6,3.4,"{'offense': 23, 'defense': 27, 'net': 12}"
2023,253,Saint Mary's,WCC,107.4,104.0,3.4,"{'offense': 53, 'defense': 9, 'net': 12}"
2023,11,Arizona,Pac-12,108.4,105.1,3.3,"{'offense': 12, 'defense': 52, 'net': 14}"
2023,142,Liberty,ASUN,107.5,104.4,3.1,"{'offense': 44, 'defense': 15, 'net': 15}"
2023,204,North Texas,CUSA,107.2,104.1,3.1,"{'offense': 66, 'defense': 11, 'net': 15}"
2023,157,Marquette,Big East,108.6,105.6,3.0,"{'offense': 10, 'defense': 98, 'net': 17}"
2023,222,Oral Roberts,Summit,108.4,105.4,3.0,"{'offense': 12, 'defense': 76, 'net': 17}"
2023,70,Drake,MVC,107.5,104.5,3.0,"{'offense': 44, 'defense': 22, 'net': 17}"
2023,360,Yale,Ivy,107.7,104.8,2.9,"{'offense': 32, 'defense': 36, 'net': 20}"
2023,305,UAB,CUSA,108.0,105.2,2.8,"{'offense': 21, 'defense': 59, 'net': 21}"
2023,61,Creighton,Big East,107.6,104.9,2.8,"{'offense': 35, 'defense': 43, 'net': 21}"
2023,134,Kent State,MAC,107.2,104.5,2.7,"{'offense': 66, 'defense': 22, 'net': 23}"
2023,168,Miami,ACC,108.1,105.5,2.6,"{'offense': 18, 'defense': 86, 'net': 24}"
2023,110,Hofstra,CAA,107.3,104.8,2.6,"{'offense': 58, 'defense': 36, 'net': 24}"
2023,122,Indiana State,MVC,107.6,105.1,2.6,"{'offense': 35, 'defense': 52, 'net': 24}"
2023,339,Virginia,ACC,106.9,104.3,2.6,"{'offense': 90, 'defense': 13, 'net': 24}"
2023,257,San Diego State,Mountain West,106.6,104.1,2.6,"{'offense': 122, 'defense': 11, 'net': 24}"
2023,333,VCU,A-10,106.2,103.7,2.6,"{'offense': 170, 'defense': 7, 'net': 24}"
2023,131,Kansas,Big 12,107.0,104.5,2.5,"{'offense': 79, 'defense': 22, 'net': 30}"
2023,64,Dayton,A-10,106.9,104.4,2.5,"{'offense': 90, 'defense': 15, 'net': 30}"
2023,158,Marshall,Sun Belt,107.5,105.0,2.5,"{'offense': 44, 'defense': 48, 'net': 30}"
2023,318,UMass Lowell,Am. East,107.5,105.1,2.5,"{'offense': 44, 'defense': 52, 'net': 30}"
2023,359,Xavier,Big East,108.0,105.7,2.4,"{'offense': 21, 'defense': 110, 'net': 34}"
2023,300,Toledo,MAC,109.7,107.4,2.4,"{'offense': 5, 'defense': 305, 'net': 34}"
2023,163,Memphis,American,107.2,104.8,2.4,"{'offense': 66, 'defense': 36, 'net': 34}"
2023,29,Bradley,MVC,106.7,104.4,2.3,"{'offense': 111, 'defense': 15, 'net': 37}"
2023,55,Colgate,Patriot,108.5,106.2,2.3,"{'offense': 11, 'defense': 171, 'net': 37}"
