season,teamId,team,conference,elo
2015,1,Abilene Christian,Southland Conference,1351
2015,2,Air Force,Mountain West Conference,1625
2015,3,Akron,Mid-American Conference,1808
2015,5,Alabama,Southeastern Conference,1863
2015,4,Alabama A&M,Southwestern Athletic Conference,1313
2015,6,Alabama State,Southwestern Athletic Conference,1563
2015,7,Alcorn State,Southwestern Athletic Conference,1217
2015,8,American University,Patriot League,1640
2015,9,App State,Sun Belt Conference,1532
2015,11,Arizona,Pac-12 Conference,2278
2015,10,Arizona State,Pac-12 Conference,1799
2015,12,Arkansas,Southeastern Conference,1934
2015,14,Arkansas-Pine Bluff,Southwestern Athletic Conference,1355
2015,13,Arkansas State,Sun Belt Conference,1415
2015,15,Army,Patriot League,1470
2015,16,Auburn,Southeastern Conference,1646
2015,17,Austin Peay,Ohio Valley Conference,1420
2015,19,Ball State,Mid-American Conference,1518
2015,20,Baylor,Big 12 Conference,2033
2015,22,Belmont,Ohio Valley Conference,1841
2015,23,Bethune-Cookman,Mid-Eastern Athletic Conference,1361
2015,24,Binghamton,America East Conference,1384
2015,25,Boise State,Mountain West Conference,1950
2015,26,Boston College,Atlantic Coast Conference,1719
2015,27,Boston University,Patriot League,1498
2015,28,Bowling Green,Mid-American Conference,1630
2015,29,Bradley,Missouri Valley Conference,1505
2015,30,Brown,Ivy League,1556
2015,31,Bryant,Northeast Conference,1531
2015,32,Bucknell,Patriot League,1587
2015,33,Buffalo,Mid-American Conference,1910
2015,34,Butler,Big East Conference,1933
2015,18,BYU,West Coast Conference,1984
2015,40,California,Pac-12 Conference,1740
2015,35,Cal Poly,Big West Conference,1732
2015,36,Cal State Bakersfield,Western Athletic Conference,1590
2015,37,Cal State Fullerton,Big West Conference,1466
2015,38,Cal State Northridge,Big West Conference,1583
2015,41,Campbell,Big South Conference,1511
2015,42,Canisius,Metro Atlantic Athletic Conference,1697
2015,43,Central Arkansas,Southland Conference,1239
2015,44,Central Connecticut,Northeast Conference,1263
2015,45,Central Michigan,Mid-American Conference,1806
2015,46,Charleston,Coastal Athletic Association,1419
2015,47,Charleston Southern,Big South Conference,1745
2015,48,Charlotte,Conference USA,1672
2015,49,Chattanooga,Southern Conference,1774
2015,50,Chicago State,Western Athletic Conference,1412
2015,51,Cincinnati,American Athletic Conference,1887
2015,52,Clemson,Atlantic Coast Conference,1766
2015,53,Cleveland State,Horizon League,1934
2015,54,Coastal Carolina,Big South Conference,1845
2015,55,Colgate,Patriot League,1630
2015,56,Colorado,Pac-12 Conference,1722
2015,57,Colorado State,Mountain West Conference,1833
2015,58,Columbia,Ivy League,1691
2015,59,Coppin State,Mid-Eastern Athletic Conference,1273
2015,60,Cornell,Ivy League,1717
2015,61,Creighton,Big East Conference,1740
2015,62,Dartmouth,Ivy League,1700
2015,63,Davidson,Atlantic 10 Conference,1856
2015,64,Dayton,Atlantic 10 Conference,1885
2015,66,Delaware,Coastal Athletic Association,1547
2015,67,Delaware State,Mid-Eastern Athletic Conference,1478
2015,68,Denver,Summit League,1616
2015,65,DePaul,Big East Conference,1549
2015,69,Detroit Mercy,Horizon League,1637
2015,70,Drake,Missouri Valley Conference,1572
2015,71,Drexel,Coastal Athletic Association,1520
2015,72,Duke,Atlantic Coast Conference,2304
2015,73,Duquesne,Atlantic 10 Conference,1548
2015,74,East Carolina,American Athletic Conference,1540
2015,77,Eastern Illinois,Ohio Valley Conference,1569
2015,78,Eastern Kentucky,Ohio Valley Conference,1794
2015,79,Eastern Michigan,Mid-American Conference,1755
2015,80,Eastern Washington,Big Sky Conference,1775
2015,75,East Tennessee State,Southern Conference,1665
2015,81,Elon,Coastal Athletic Association,1571
2015,82,Evansville,Missouri Valley Conference,1806
2015,83,Fairfield,Metro Atlantic Athletic Conference,1364
2015,84,Fairleigh Dickinson,Northeast Conference,1342
2015,87,Florida,Southeastern Conference,1858
2015,85,Florida A&M,Mid-Eastern Athletic Conference,1156
2015,86,Florida Atlantic,Conference USA,1390
2015,88,Florida Gulf Coast,ASUN Conference,1700
2015,89,Florida International,Conference USA,1469
2015,90,Florida State,Atlantic Coast Conference,1741
2015,91,Fordham,Atlantic 10 Conference,1577
2015,92,Fresno State,Mountain West Conference,1637
2015,93,Furman,Southern Conference,1510
2015,94,Gardner-Webb,Big South Conference,1650
2015,95,George Mason,Atlantic 10 Conference,1567
2015,97,Georgetown,Big East Conference,1933
2015,96,George Washington,Atlantic 10 Conference,1805
2015,98,Georgia,Southeastern Conference,1892
2015,99,Georgia Southern,Sun Belt Conference,1787
2015,100,Georgia State,Sun Belt Conference,1944
2015,101,Georgia Tech,Atlantic Coast Conference,1664
2015,102,Gonzaga,West Coast Conference,2140
2015,103,Grambling,Southwestern Athletic Conference,910
2015,104,Grand Canyon,Western Athletic Conference,1576
2015,105,Green Bay,Horizon League,1858
2015,106,Hampton,Mid-Eastern Athletic Conference,1684
2015,363,Hartford,America East Conference,1425
2015,107,Harvard,Ivy League,1868
2015,108,Hawai'i,Big West Conference,1823
2015,109,High Point,Big South Conference,1813
2015,110,Hofstra,Coastal Athletic Association,1770
2015,111,Holy Cross,Patriot League,1539
2015,113,Houston,American Athletic Conference,1601
2015,112,Houston Christian,Southland Conference,1515
2015,114,Howard,Mid-Eastern Athletic Conference,1590
2015,117,Idaho,Big Sky Conference,1604
2015,116,Idaho State,Big Sky Conference,1471
2015,118,Illinois,Big Ten Conference,1768
2015,119,Illinois State,Missouri Valley Conference,1877
2015,120,Incarnate Word,Southland Conference,1607
2015,121,Indiana,Big Ten Conference,1897
2015,122,Indiana State,Missouri Valley Conference,1636
2015,123,Iona,Metro Atlantic Athletic Conference,1716
2015,124,Iowa,Big Ten Conference,2024
2015,125,Iowa State,Big 12 Conference,2060
2015,115,IU Indianapolis,Summit League,1494
2015,126,Jackson State,Southwestern Athletic Conference,1426
2015,127,Jacksonville,ASUN Conference,1490
2015,128,Jacksonville State,Ohio Valley Conference,1445
2015,129,James Madison,Coastal Athletic Association,1578
2015,131,Kansas,Big 12 Conference,2031
2015,130,Kansas City,Western Athletic Conference,1540
2015,132,Kansas State,Big 12 Conference,1750
2015,133,Kennesaw State,ASUN Conference,1269
2015,134,Kent State,Mid-American Conference,1783
2015,135,Kentucky,Southeastern Conference,2305
2015,138,Lafayette,Patriot League,1554
2015,139,Lamar,Southland Conference,1619
2015,137,La Salle,Atlantic 10 Conference,1706
2015,141,Lehigh,Patriot League,1637
2015,142,Liberty,Big South Conference,1396
2015,143,Lipscomb,ASUN Conference,1586
2015,144,Little Rock,Sun Belt Conference,1645
2015,145,Long Beach State,Big West Conference,1721
2015,146,Long Island University,Northeast Conference,1435
2015,147,Longwood,Big South Conference,1524
2015,148,Louisiana,Sun Belt Conference,1851
2015,149,Louisiana Tech,Conference USA,1791
2015,150,Louisville,Atlantic Coast Conference,1989
2015,151,Loyola Chicago,Missouri Valley Conference,1737
2015,152,Loyola Maryland,Patriot League,1395
2015,153,Loyola Marymount,West Coast Conference,1383
2015,136,LSU,Southeastern Conference,1861
2015,154,Maine,America East Conference,1242
2015,155,Manhattan,Metro Atlantic Athletic Conference,1689
2015,156,Marist,Metro Atlantic Athletic Conference,1397
2015,157,Marquette,Big East Conference,1644
2015,158,Marshall,Conference USA,1484
2015,160,Maryland,Big Ten Conference,1873
2015,159,Maryland Eastern Shore,Mid-Eastern Athletic Conference,1640
2015,161,Massachusetts,Atlantic 10 Conference,1605
2015,162,McNeese,Southland Conference,1520
2015,163,Memphis,American Athletic Conference,1779
2015,164,Mercer,Southern Conference,1757
2015,168,Miami,Atlantic Coast Conference,1872
2015,167,Miami (OH),Mid-American Conference,1585
2015,170,Michigan,Big Ten Conference,1833
2015,169,Michigan State,Big Ten Conference,2016
2015,171,Middle Tennessee,Conference USA,1679
2015,172,Milwaukee,Horizon League,1691
2015,173,Minnesota,Big Ten Conference,1846
2015,174,Mississippi State,Southeastern Conference,1639
2015,175,Mississippi Valley State,Southwestern Athletic Conference,1145
2015,177,Missouri,Southeastern Conference,1564
2015,176,Missouri State,Missouri Valley Conference,1433
2015,178,Monmouth,Metro Atlantic Athletic Conference,1530
2015,179,Montana,Big Sky Conference,1740
2015,180,Montana State,Big Sky Conference,1429
2015,181,Morehead State,Ohio Valley Conference,1834
2015,182,Morgan State,Mid-Eastern Athletic Conference,1241
2015,183,Mount St. Mary's,Northeast Conference,1512
2015,184,Murray State,Ohio Valley Conference,2007
2015,187,Navy,Patriot League,1506
2015,185,NC State,Atlantic Coast Conference,1895
2015,188,Nebraska,Big Ten Conference,1674
2015,189,Nevada,Mountain West Conference,1435
2015,190,New Hampshire,America East Conference,1661
2015,191,New Mexico,Mountain West Conference,1658
2015,192,New Mexico State,Western Athletic Conference,1843
2015,193,New Orleans,Southland Conference,1513
2015,194,Niagara,Metro Atlantic Athletic Conference,1374
2015,195,Nicholls,Southland Conference,1449
2015,186,NJIT,Division I Independents,1783
2015,196,Norfolk State,Mid-Eastern Athletic Conference,1645
2015,200,North Carolina,Atlantic Coast Conference,2070
2015,198,North Carolina A&T,Mid-Eastern Athletic Conference,1348
2015,199,North Carolina Central,Mid-Eastern Athletic Conference,1856
2015,201,North Dakota,Big Sky Conference,1425
2015,202,North Dakota State,Summit League,1726
2015,205,Northeastern,Coastal Athletic Association,1752
2015,206,Northern Arizona,Big Sky Conference,1719
2015,207,Northern Colorado,Big Sky Conference,1556
2015,208,Northern Illinois,Mid-American Conference,1647
2015,209,Northern Iowa,Missouri Valley Conference,1968
2015,210,Northern Kentucky,ASUN Conference,1717
2015,203,North Florida,ASUN Conference,1804
2015,204,North Texas,Conference USA,1493
2015,212,Northwestern,Big Ten Conference,1707
2015,211,Northwestern State,Southland Conference,1612
2015,213,Notre Dame,Atlantic Coast Conference,2085
2015,214,Oakland,Horizon League,1666
2015,215,Ohio,Mid-American Conference,1589
2015,216,Ohio State,Big Ten Conference,1972
2015,217,Oklahoma,Big 12 Conference,2051
2015,218,Oklahoma State,Big 12 Conference,1839
2015,219,Old Dominion,Conference USA,1832
2015,220,Ole Miss,Southeastern Conference,1841
2015,221,Omaha,Summit League,1600
2015,222,Oral Roberts,Summit League,1675
2015,223,Oregon,Pac-12 Conference,1896
2015,224,Oregon State,Pac-12 Conference,1652
2015,225,Pacific,West Coast Conference,1579
2015,226,Penn State,Big Ten Conference,1805
2015,227,Pennsylvania,Ivy League,1459
2015,228,Pepperdine,West Coast Conference,1652
2015,229,Pittsburgh,Atlantic Coast Conference,1744
2015,230,Portland,West Coast Conference,1730
