season,teamId,team,conference,elo
2022,1,Abilene Christian,Western Athletic Conference,1882
2022,2,Air Force,Mountain West Conference,1412
2022,3,Akron,Mid-American Conference,1955
2022,5,Alabama,Southeastern Conference,1854
2022,4,Alabama A&M,Southwestern Athletic Conference,1424
2022,6,Alabama State,Southwestern Athletic Conference,1385
2022,7,Alcorn State,Southwestern Athletic Conference,1492
2022,8,American University,Patriot League,1459
2022,9,App State,Sun Belt Conference,1784
2022,11,Arizona,Pac-12 Conference,2093
2022,10,Arizona State,Pac-12 Conference,1825
2022,12,Arkansas,Southeastern Conference,2044
2022,14,Arkansas-Pine Bluff,Southwestern Athletic Conference,1250
2022,13,Arkansas State,Sun Belt Conference,1745
2022,15,Army,Patriot League,1472
2022,16,Auburn,Southeastern Conference,2022
2022,17,Austin Peay,Ohio Valley Conference,1511
2022,19,Ball State,Mid-American Conference,1593
2022,20,Baylor,Big 12 Conference,2122
2022,21,Bellarmine,ASUN Conference,1813
2022,22,Belmont,Ohio Valley Conference,1916
2022,23,Bethune-Cookman,Southwestern Athletic Conference,1389
2022,24,Binghamton,America East Conference,1613
2022,25,Boise State,Mountain West Conference,1956
2022,26,Boston College,Atlantic Coast Conference,1722
2022,27,Boston University,Patriot League,1589
2022,28,Bowling Green,Mid-American Conference,1461
2022,29,Bradley,Missouri Valley Conference,1886
2022,30,Brown,Ivy League,1568
2022,31,Bryant,Northeast Conference,1756
2022,32,Bucknell,Patriot League,1357
2022,33,Buffalo,Mid-American Conference,1839
2022,34,Butler,Big East Conference,1678
2022,18,BYU,West Coast Conference,1847
2022,40,California,Pac-12 Conference,1620
2022,39,California Baptist,Western Athletic Conference,1679
2022,35,Cal Poly,Big West Conference,1482
2022,36,Cal State Bakersfield,Big West Conference,1547
2022,37,Cal State Fullerton,Big West Conference,1750
2022,38,Cal State Northridge,Big West Conference,1331
2022,41,Campbell,Big South Conference,1723
2022,42,Canisius,Metro Atlantic Athletic Conference,1550
2022,43,Central Arkansas,ASUN Conference,1606
2022,44,Central Connecticut,Northeast Conference,1308
2022,45,Central Michigan,Mid-American Conference,1449
2022,46,Charleston,Coastal Athletic Association,1753
2022,47,Charleston Southern,Big South Conference,1416
2022,48,Charlotte,Conference USA,1661
2022,49,Chattanooga,Southern Conference,1964
2022,50,Chicago State,Western Athletic Conference,1421
2022,51,Cincinnati,American Athletic Conference,1748
2022,52,Clemson,Atlantic Coast Conference,1782
2022,53,Cleveland State,Horizon League,1718
2022,54,Coastal Carolina,Sun Belt Conference,1819
2022,55,Colgate,Patriot League,1823
2022,56,Colorado,Pac-12 Conference,1846
2022,57,Colorado State,Mountain West Conference,1896
2022,58,Columbia,Ivy League,1247
2022,59,Coppin State,Mid-Eastern Athletic Conference,1491
2022,60,Cornell,Ivy League,1674
2022,61,Creighton,Big East Conference,1911
2022,62,Dartmouth,Ivy League,1715
2022,63,Davidson,Atlantic 10 Conference,1958
2022,64,Dayton,Atlantic 10 Conference,2015
2022,66,Delaware,Coastal Athletic Association,1771
2022,67,Delaware State,Mid-Eastern Athletic Conference,1331
2022,68,Denver,Summit League,1630
2022,65,DePaul,Big East Conference,1740
2022,69,Detroit Mercy,Horizon League,1679
2022,70,Drake,Missouri Valley Conference,1972
2022,71,Drexel,Coastal Athletic Association,1690
2022,72,Duke,Atlantic Coast Conference,2092
2022,73,Duquesne,Atlantic 10 Conference,1382
2022,74,East Carolina,American Athletic Conference,1559
2022,77,Eastern Illinois,Ohio Valley Conference,1297
2022,78,Eastern Kentucky,ASUN Conference,1718
2022,79,Eastern Michigan,Mid-American Conference,1402
2022,80,Eastern Washington,Big Sky Conference,1711
2022,75,East Tennessee State,Southern Conference,1695
2022,81,Elon,Coastal Athletic Association,1596
2022,82,Evansville,Missouri Valley Conference,1347
2022,83,Fairfield,Metro Atlantic Athletic Conference,1658
2022,84,Fairleigh Dickinson,Northeast Conference,1365
2022,87,Florida,Southeastern Conference,1801
2022,85,Florida A&M,Southwestern Athletic Conference,1434
2022,86,Florida Atlantic,Conference USA,1824
2022,88,Florida Gulf Coast,ASUN Conference,1795
2022,89,Florida International,Conference USA,1520
2022,90,Florida State,Atlantic Coast Conference,1584
2022,91,Fordham,Atlantic 10 Conference,1595
2022,92,Fresno State,Mountain West Conference,1914
2022,93,Furman,Southern Conference,2026
2022,94,Gardner-Webb,Big South Conference,1758
2022,95,George Mason,Atlantic 10 Conference,1675
2022,97,Georgetown,Big East Conference,1571
2022,96,George Washington,Atlantic 10 Conference,1570
2022,98,Georgia,Southeastern Conference,1458
2022,99,Georgia Southern,Sun Belt Conference,1607
2022,100,Georgia State,Sun Belt Conference,1857
2022,101,Georgia Tech,Atlantic Coast Conference,1605
2022,102,Gonzaga,West Coast Conference,2267
2022,103,Grambling,Southwestern Athletic Conference,1418
2022,104,Grand Canyon,Western Athletic Conference,1940
2022,105,Green Bay,Horizon League,1449
2022,106,Hampton,Big South Conference,1500
2022,363,Hartford,America East Conference,1576
2022,107,Harvard,Ivy League,1577
2022,108,Hawai'i,Big West Conference,1712
2022,109,High Point,Big South Conference,1632
2022,110,Hofstra,Coastal Athletic Association,1699
2022,111,Holy Cross,Patriot League,1343
2022,113,Houston,American Athletic Conference,2206
2022,112,Houston Christian,Southland Conference,1521
2022,114,Howard,Mid-Eastern Athletic Conference,1684
2022,117,Idaho,Big Sky Conference,1418
2022,116,Idaho State,Big Sky Conference,1493
2022,118,Illinois,Big Ten Conference,1966
