season,teamId,team,conference,rating
2017,102,Gonzaga,WCC,20.4
2017,352,Wichita State,MVC,17.5
2017,200,North Carolina,ACC,16.4
2017,338,Villanova,Big East,16.0
2017,135,Kentucky,SEC,15.8
2017,87,Florida,SEC,15.0
2017,150,Louisville,ACC,14.7
2017,347,West Virginia,Big 12,14.5
2017,131,Kansas,Big 12,14.4
2017,313,UCLA,Pac-12,13.7
2017,248,SMU,American,13.6
2017,236,Purdue,Big Ten,13.3
2017,223,Oregon,Pac-12,13.3
2017,51,Cincinnati,American,13.3
2017,339,Virginia,ACC,12.8
2017,253,Saint Mary's,WCC,12.6
2017,11,Arizona,Pac-12,12.3
2017,72,Duke,ACC,12.1
2017,355,Wisconsin,Big Ten,11.5
2017,20,Baylor,Big 12,11.2
2017,90,Florida State,ACC,10.9
2017,171,Middle Tennessee,CUSA,10.7
2017,34,Butler,Big East,10.7
2017,170,Michigan,Big Ten,10.7
2017,266,South Carolina,SEC,10.6
2017,213,Notre Dame,ACC,10.4
2017,125,Iowa State,Big 12,9.8
2017,64,Dayton,A-10,9.7
2017,337,Vermont,Am. East,9.6
2017,218,Oklahoma State,Big 12,9.6
2017,321,UNC Wilmington,CAA,9.6
2017,192,New Mexico State,WAC,9.4
2017,240,Rhode Island,A-10,9.3
2017,234,Princeton,Ivy,9.2
2017,75,East Tennessee State,SoCon,9.1
2017,342,Wake Forest,ACC,9.0
2017,32,Bucknell,Patriot,8.6
2017,189,Nevada,Mountain West,8.4
2017,331,Utah,Pac-12,8.3
2017,178,Monmouth,MAAC,8.3
2017,333,VCU,A-10,8.3
2017,149,Louisiana Tech,CUSA,8.3
2017,61,Creighton,Big East,8.2
2017,173,Minnesota,Big Ten,8.0
2017,119,Illinois State,MVC,8.0
2017,121,Indiana,Big Ten,7.9
2017,324,UT Arlington,Sun Belt,7.8
2017,113,Houston,American,7.7
2017,212,Northwestern,Big Ten,7.6
2017,157,Marquette,Big East,7.4
2017,12,Arkansas,SEC,7.4
2017,160,Maryland,Big Ten,7.1
2017,36,Cal State Bakersfield,WAC,7.0
2017,359,Xavier,Big East,6.9
2017,319,UNC Asheville,Big South,6.7
2017,336,Vanderbilt,SEC,6.7
2017,52,Clemson,ACC,6.7
2017,286,Syracuse,ACC,6.6
2017,354,Winthrop,Big South,6.6
2017,287,TCU,Big 12,6.6
2017,168,Miami,ACC,6.6
2017,214,Oakland,Horizon,6.5
2017,22,Belmont,OVC,6.5
2017,169,Michigan State,Big Ten,6.5
2017,335,Valparaiso,Horizon,6.3
2017,340,Virginia Tech,ACC,6.2
2017,40,California,Pac-12,6.1
2017,5,Alabama,SEC,6.1
2017,323,USC,Pac-12,6.0
2017,88,Florida Gulf Coast,ASUN,5.9
2017,141,Lehigh,Patriot,5.6
2017,132,Kansas State,Big 12,5.5
2017,257,San Diego State,Mountain West,5.5
2017,215,Ohio,MAC,5.5
2017,93,Furman,SoCon,5.4
2017,298,Texas Tech,Big 12,5.3
2017,254,Saint Peter's,MAAC,5.3
2017,18,BYU,WCC,5.1
2017,293,Texas A&M,SEC,5.1
2017,199,North Carolina Central,MEAC,5.0
2017,312,UCF,American,4.9
2017,277,St. Bonaventure,A-10,4.7
2017,57,Colorado State,Mountain West,4.6
2017,292,Tennessee,SEC,4.5
2017,46,Charleston,CAA,4.5
2017,216,Ohio State,Big Ten,4.5
2017,98,Georgia,SEC,4.2
2017,235,Providence,Big East,4.2
2017,124,Iowa,Big Ten,4.2
2017,107,Harvard,Ivy,4.1
2017,49,Chattanooga,SoCon,4.1
2017,3,Akron,MAC,4.1
2017,263,Seton Hall,Big East,4.1
2017,306,UAlbany,Am. East,4.0
