season,teamId,team,conference,elo
2014,1,Abilene Christian,Southland Conference,1646
2014,2,Air Force,Mountain West Conference,1530
2014,3,Akron,Mid-American Conference,1736
2014,5,Alabama,Southeastern Conference,1808
2014,4,Alabama A&M,Southwestern Athletic Conference,1469
2014,6,Alabama State,Southwestern Athletic Conference,1440
2014,7,Alcorn State,Southwestern Athletic Conference,1382
2014,8,American University,Patriot League,1700
2014,9,App State,Southern Conference,1344
2014,11,Arizona,Pac-12 Conference,2256
2014,10,Arizona State,Pac-12 Conference,1839
2014,12,Arkansas,Southeastern Conference,1870
2014,14,Arkansas-Pine Bluff,Southwestern Athletic Conference,1377
2014,13,Arkansas State,Sun Belt Conference,1702
2014,15,Army,Patriot League,1545
2014,16,Auburn,Southeastern Conference,1627
2014,17,Austin Peay,Ohio Valley Conference,1441
2014,19,Ball State,Mid-American Conference,1500
2014,20,Baylor,Big 12 Conference,2063
2014,22,Belmont,Ohio Valley Conference,1917
2014,23,Bethune-Cookman,Mid-Eastern Athletic Conference,1383
2014,24,Binghamton,America East Conference,1261
2014,25,Boise State,Mountain West Conference,1907
2014,26,Boston College,Atlantic Coast Conference,1646
2014,27,Boston University,Patriot League,1721
2014,28,Bowling Green,Mid-American Conference,1587
2014,29,Bradley,Missouri Valley Conference,1592
2014,30,Brown,Ivy League,1684
2014,31,Bryant,Northeast Conference,1545
2014,32,Bucknell,Patriot League,1660
2014,33,Buffalo,Mid-American Conference,1827
2014,34,Butler,Big East Conference,1806
2014,18,BYU,West Coast Conference,1852
2014,40,California,Pac-12 Conference,1802
2014,35,Cal Poly,Big West Conference,1686
2014,36,Cal State Bakersfield,Western Athletic Conference,1608
2014,37,Cal State Fullerton,Big West Conference,1524
2014,38,Cal State Northridge,Big West Conference,1618
2014,41,Campbell,Big South Conference,1398
2014,42,Canisius,Metro Atlantic Athletic Conference,1647
2014,43,Central Arkansas,Southland Conference,1421
2014,44,Central Connecticut,Northeast Conference,1323
2014,45,Central Michigan,Mid-American Conference,1532
2014,46,Charleston,Coastal Athletic Association,1568
2014,47,Charleston Southern,Big South Conference,1822
2014,48,Charlotte,Conference USA,1609
2014,49,Chattanooga,Southern Conference,1480
2014,50,Chicago State,Western Athletic Conference,1474
2014,51,Cincinnati,American Athletic Conference,1972
2014,52,Clemson,Atlantic Coast Conference,1850
2014,53,Cleveland State,Horizon League,1930
2014,54,Coastal Carolina,Big South Conference,1776
2014,55,Colgate,Patriot League,1664
2014,56,Colorado,Pac-12 Conference,1736
2014,57,Colorado State,Mountain West Conference,1769
2014,58,Columbia,Ivy League,1700
2014,59,Coppin State,Mid-Eastern Athletic Conference,1439
2014,60,Cornell,Ivy League,1279
2014,61,Creighton,Big East Conference,1928
2014,62,Dartmouth,Ivy League,1601
2014,63,Davidson,Southern Conference,1858
2014,64,Dayton,Atlantic 10 Conference,1852
2014,66,Delaware,Coastal Athletic Association,1746
2014,67,Delaware State,Mid-Eastern Athletic Conference,1421
2014,68,Denver,Summit League,1744
2014,65,DePaul,Big East Conference,1509
2014,69,Detroit Mercy,Horizon League,1700
2014,70,Drake,Missouri Valley Conference,1529
2014,71,Drexel,Coastal Athletic Association,1607
2014,72,Duke,Atlantic Coast Conference,2001
2014,73,Duquesne,Atlantic 10 Conference,1682
2014,74,East Carolina,Conference USA,1547
2014,77,Eastern Illinois,Ohio Valley Conference,1480
2014,78,Eastern Kentucky,Ohio Valley Conference,1796
2014,79,Eastern Michigan,Mid-American Conference,1720
