season,teamId,team,conference,offensiveRating,defensiveRating,netRating,rankings
2018,219,Old Dominion,CUSA,135.2,124.4,10.8,"{'offense': 6, 'defense': 165, 'net': 1}"
2018,338,Villanova,Big East,126.4,120.1,6.2,"{'offense': 107, 'defense': 12, 'net': 2}"
2018,307,UC Davis,Big West,131.8,126.4,5.4,"{'offense': 18, 'defense': 236, 'net': 3}"
2018,51,Cincinnati,American,123.5,118.2,5.2,"{'offense': 208, 'defense': 1, 'net': 4}"
2018,102,Gonzaga,WCC,124.4,119.2,5.2,"{'offense': 170, 'defense': 4, 'net': 4}"
2018,63,Davidson,A-10,140.3,135.3,5.0,"{'offense': 1, 'defense': 342, 'net': 6}"
2018,253,Saint Mary's,WCC,128.2,123.4,4.8,"{'offense': 64, 'defense': 136, 'net': 7}"
2018,25,Boise State,Mountain West,129.4,124.7,4.7,"{'offense': 38, 'defense': 180, 'net': 8}"
2018,72,Duke,ACC,124.9,120.2,4.7,"{'offense': 157, 'defense': 16, 'net': 8}"
2018,205,Northeastern,CAA,130.7,126.1,4.6,"{'offense': 26, 'defense': 227, 'net': 10}"
2018,236,Purdue,Big Ten,124.4,119.8,4.6,"{'offense': 170, 'defense': 9, 'net': 10}"
2018,22,Belmont,OVC,128.9,124.4,4.5,"{'offense': 50, 'defense': 165, 'net': 12}"
2018,117,Idaho,Big Sky,137.5,133.2,4.3,"{'offense': 5, 'defense': 333, 'net': 13}"
2018,339,Virginia,ACC,122.7,118.3,4.3,"{'offense': 246, 'defense': 2, 'net': 13}"
2018,148,Louisiana,Sun Belt,127.7,123.6,4.1,"{'offense': 75, 'defense': 142, 'net': 15}"
2018,169,Michigan State,Big Ten,124.2,120.1,4.1,"{'offense': 180, 'defense': 12, 'net': 15}"
2018,350,Western Kentucky,CUSA,134.4,130.4,4.0,"{'offense': 8, 'defense': 316, 'net': 17}"
2018,184,Murray State,OVC,132.5,128.6,3.9,"{'offense': 13, 'defense': 285, 'net': 18}"
2018,113,Houston,American,123.5,119.7,3.8,"{'offense': 208, 'defense': 8, 'net': 19}"
2018,93,Furman,SoCon,131.1,127.5,3.6,"{'offense': 24, 'defense': 263, 'net': 20}"
2018,170,Michigan,Big Ten,122.9,119.3,3.6,"{'offense': 234, 'defense': 5, 'net': 20}"
2018,282,Stephen F. Austin,Southland,125.1,121.6,3.5,"{'offense': 147, 'defense': 52, 'net': 22}"
2018,331,Utah,Pac-12,128.7,125.3,3.4,"{'offense': 55, 'defense': 200, 'net': 23}"
2018,189,Nevada,Mountain West,123.7,120.3,3.4,"{'offense': 197, 'defense': 19, 'net': 23}"
2018,337,Vermont,Am. East,126.4,123.0,3.4,"{'offense': 107, 'defense': 118, 'net': 23}"
2018,75,East Tennessee State,SoCon,127.2,123.9,3.3,"{'offense': 89, 'defense': 146, 'net': 26}"
